triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
010100_0111_1,y,0,226.553µs,860.89µs,22.76208ms,23.849523ms
01011011_00_1,y,0,200.248µs,943.063µs,23.075816ms,24.219127ms
010000_0111_1,y,0,214.64µs,1.050062ms,23.113351ms,24.378053ms
00100_01000_1,y,0,216.367µs,951.948µs,23.46426ms,24.632575ms
01111_01000_1,y,0,213.155µs,981.31µs,23.586184ms,24.780649ms
01000_1011_00,y,0,198.141µs,944.033µs,23.588782ms,24.730956ms
010000_111_00,y,0,266.205µs,1.037167ms,23.739154ms,25.042526ms
000100_0111_1,y,0,208.326µs,1.044246ms,24.128415ms,25.380987ms
0010000_000_1,y,0,210.554µs,1.045111ms,24.241713ms,25.497378ms
10000_0111_00,y,0,227.438µs,1.034801ms,24.710117ms,25.972356ms
01100111_00_1,y,0,206.95µs,968.419µs,24.707648ms,25.883017ms
0110000_11_00,y,0,220.825µs,991.916µs,24.900702ms,26.113443ms
0100000_000_1,y,0,208.262µs,1.114665ms,25.472189ms,26.795116ms
01111_0000_11,y,0,212.262µs,1.054934ms,25.550224ms,26.81742ms
011111_000_11,y,0,216.291µs,1.066027ms,26.028048ms,27.310366ms
011111_111_00,y,0,213.604µs,1.125409ms,26.376897ms,27.71591ms
0101111_000_1,y,0,323.527µs,1.028229ms,26.166529ms,27.518285ms
010000_000_11,y,0,210.788µs,1.026022ms,26.586009ms,27.822819ms
0101111_11_00,y,0,216.287µs,964.724µs,27.253692ms,28.434703ms
010111_011_00,y,0,240.135µs,892.417µs,27.636646ms,28.769198ms
000000_0111_1,y,0,218.861µs,1.147123ms,27.690826ms,29.05681ms
0110111_000_1,y,0,240.013µs,1.04361ms,28.143266ms,29.426889ms
0011111_000_1,y,0,220.549µs,1.090084ms,28.106764ms,29.417397ms
0111111_000_1,y,0,242.587µs,1.120256ms,28.308314ms,29.671157ms
01000100_00_1,y,0,199.743µs,895.765µs,17.666028ms,18.761536ms
0100100_11_00,y,0,213.11µs,875.569µs,17.494886ms,18.583565ms
010111_0100_1,y,0,199.185µs,924.653µs,18.408937ms,19.532775ms
0100000_11_00,y,0,205.481µs,1.0485ms,17.826591ms,19.080572ms
01111_0100_11,y,0,200.132µs,985.349µs,19.927413ms,21.112894ms
011011_0000_1,y,0,202.425µs,987.464µs,19.048024ms,20.237913ms
0110111_11_00,y,0,219.809µs,1.098671ms,17.872282ms,19.190762ms
01010111_00_1,y,0,200.63µs,932.826µs,18.213852ms,19.347308ms
010000_011_00,y,0,208.103µs,938.315µs,18.744691ms,19.891109ms
00111_011_000,y,0,25.625472ms,1.007687ms,19.375459ms,46.008618ms
01101011_00_1,y,0,204.2µs,946.305µs,17.848173ms,18.998678ms
10111_0111_00,y,0,200.214µs,1.032504ms,18.002457ms,19.235175ms
01111_00000_1,y,0,200.74µs,1.062518ms,19.331144ms,20.594402ms
0111111_11_00,y,0,200.091µs,1.029476ms,20.278968ms,21.508535ms
0111011_11_00,y,0,201.234µs,975.461µs,19.441023ms,20.617718ms
01111011_00_1,y,0,199.807µs,1.346889ms,21.320266ms,22.866962ms
0101000_11_00,y,0,207.659µs,1.019687ms,17.217716ms,18.445062ms
001111_0000_1,y,0,197.748µs,1.033373ms,19.188737ms,20.419858ms
010111_0000_1,y,0,204.391µs,1.065605ms,18.496499ms,19.766495ms
011000_0111_1,y,0,201.053µs,907.769µs,20.1355ms,21.244322ms
01010000_00_1,y,0,207.622µs,1.16117ms,19.254129ms,20.622921ms
0111011_000_1,y,0,209.837µs,932.917µs,18.672367ms,19.815121ms
001000_000_11,y,0,199.819µs,1.403625ms,20.05067ms,21.654114ms
01000_1111_00,y,0,202.106µs,1.32876ms,20.499682ms,22.030548ms
01001000_00_1,y,0,199.036µs,900.826µs,17.224065ms,18.323927ms
01000_0111_00,y,0,194.265µs,955.687µs,16.990388ms,18.14034ms
001000_0111_1,y,0,198.725µs,1.000901ms,17.825503ms,19.025129ms
01110111_00_1,y,0,200.619µs,1.111119ms,17.34059ms,18.652328ms
011111_0100_1,y,0,191.699µs,1.063479ms,17.827303ms,19.082481ms
01011111_00_1,y,0,199.35µs,977.424µs,18.55744ms,19.734214ms
011111_0000_1,y,0,207.521µs,1.115038ms,18.399895ms,19.722454ms
01101111_00_1,y,0,206.316µs,1.253285ms,19.125385ms,20.584986ms
01111111_00_1,y,0,204.79µs,1.120499ms,19.73189ms,21.057179ms
01111_1011_00,y,0,49.809389ms,1.030494ms,18.2223ms,69.062183ms
011011_0100_1,y,0,35.261867ms,915.916µs,16.976523ms,53.154306ms
0111_1011_000,y,0,65.569371ms,996.555µs,17.67587ms,84.241796ms
01111_00100_1,y,0,65.189553ms,1.099041ms,18.245033ms,84.533627ms
01000000_00_1,y,0,85.643951ms,1.152785ms,19.050654ms,105.84739ms
