triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
0111_1011_00,y,0,428.247µs,721.013µs,34.914104ms,36.063364ms
00100_0111_1,y,0,226.145µs,804.342µs,35.056739ms,36.087226ms
01000_0111_1,y,0,264.376µs,861.08µs,35.144049ms,36.269505ms
0101111_00_1,y,0,379.954µs,817.806µs,35.172448ms,36.370208ms
010111_000_1,y,0,436.201µs,811.791µs,35.128413ms,36.376405ms
0101000_00_1,y,0,540.085µs,832.46µs,35.094382ms,36.466927ms
00000_0111_1,y,0,221.52µs,799.207µs,35.669342ms,36.690069ms
001000_000_1,y,0,479.083µs,854.947µs,35.485124ms,36.819154ms
0110111_00_1,y,0,557.796µs,828.213µs,35.3575ms,36.743509ms
0100100_00_1,y,0,287.677µs,745.14µs,35.052319ms,36.085136ms
010000_000_1,y,0,456.181µs,778.305µs,35.656162ms,36.890648ms
0100000_00_1,y,0,460.273µs,801.378µs,35.71789ms,36.979541ms
0111011_00_1,y,0,654.875µs,765.009µs,35.755905ms,37.175789ms
011111_000_1,y,0,419.453µs,930.304µs,35.831166ms,37.180923ms
01111_0000_1,y,0,302.353µs,837.904µs,35.392101ms,36.532358ms
01111_000_11,y,0,301.178µs,861.628µs,36.202992ms,37.365798ms
01000_111_00,y,0,636.822µs,817.958µs,35.978872ms,37.433652ms
0111111_00_1,y,0,550.187µs,896.816µs,36.092078ms,37.539081ms
001111_000_1,y,0,408.856µs,844.032µs,36.363565ms,37.616453ms
011111_11_00,y,0,400.035µs,858.201µs,36.490814ms,37.74905ms
01000_011_00,y,0,38.335089ms,729.473µs,11.920942ms,50.985504ms
010000_11_00,y,0,38.286685ms,780.174µs,11.99346ms,51.060319ms
011011_000_1,y,0,38.331424ms,782.037µs,12.041963ms,51.155424ms
01111_0100_1,y,0,38.5471ms,818.746µs,13.121074ms,52.48692ms
