triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
001000100_0111_1011,y,0,8.7771ms,120.896889ms,179.674727072s,179.804401061s
1000101000_0111_000,y,0,10.174395ms,127.578595ms,185.997619237s,186.135372227s
01110010111_1011_00,y,0,9.830187ms,113.296011ms,201.662645074s,201.785771272s
0001100100_010000_1,y,0,9.375353ms,119.660574ms,197.747653904s,197.876689831s
011111011_010000_11,y,0,9.487019ms,144.431992ms,189.434132303s,189.588051314s
01110111_1010111_00,y,0,9.436422ms,130.999948ms,197.214486927s,197.354923297s
11011011_0101111_00,y,0,8.874159ms,128.54922ms,200.110161698s,200.247585077s
0111101111_010100_1,y,0,8.78874ms,125.171017ms,178.305391075s,178.439350832s
0111011_00100_01000,y,0,9.990469ms,118.634381ms,182.969459422s,183.098084272s
00111010111_00100_1,y,0,10.80167ms,124.033325ms,198.63446224s,198.769297235s
00011110111_00000_1,y,0,10.817929ms,153.512281ms,221.920515034s,222.084845244s
01111001111_01000_1,y,0,9.18867ms,133.209363ms,193.961681735s,194.104079768s
00100001000_111_000,y,0,9.6853ms,156.679362ms,193.384901314s,193.551265976s
01010100010000_00_1,y,0,10.267366ms,125.846452ms,187.77821549s,187.914329308s
01101011_0101000_00,y,0,9.093895ms,96.708838ms,160.78415048s,160.889953213s
01100010100_01111_1,y,0,10.400664ms,114.429955ms,205.768916392s,205.893747011s
01110111_01011000_1,y,0,9.577895ms,113.359923ms,199.185443072s,199.30838089s
011001000_011111_00,y,0,10.28547ms,128.527413ms,185.937958816s,186.076771699s
01001100101000_00_1,y,0,9.214923ms,102.644641ms,176.192135369s,176.303994933s
0111101101000_11_00,y,0,11.109959ms,127.160621ms,214.895863315s,215.034133895s
10110111011_0111_00,y,0,9.816421ms,132.056679ms,197.84238928s,197.98426238s
00100100_010000_111,y,0,9.829411ms,134.50848ms,184.599501714s,184.743839605s
01001000_00100_0111,y,0,10.514165ms,117.368278ms,173.024354564s,173.152237007s
011011011_0000000_1,y,0,9.481912ms,149.450229ms,187.150861127s,187.309793268s
01001010111_01111_1,y,0,9.007085ms,98.612782ms,179.28585673s,179.393476597s
0100111_0000100_011,y,0,9.408201ms,118.755331ms,184.338019383s,184.466182915s
011011000_0101000_1,y,0,9.116929ms,105.40869ms,176.508309936s,176.622835555s
0100100_011000_0111,y,0,10.218269ms,107.671898ms,181.399006004s,181.516896171s
00010010000_00000_1,y,0,11.71311ms,157.865514ms,206.693334623s,206.862913247s
0110010110111_11_00,y,0,9.183885ms,107.38083ms,186.428439363s,186.545004078s
01001101000_00100_1,y,0,11.064384ms,104.984944ms,197.182243199s,197.298292527s
0011111011_01000_11,y,0,10.062324ms,142.384462ms,214.697186899s,214.849633685s
0100110000100_11_00,y,0,10.252484ms,130.327007ms,207.488057572s,207.628637063s
011010000_111111_00,y,0,9.766925ms,148.705887ms,211.469036978s,211.62750979s
011011111_110111_00,y,0,9.191579ms,141.435088ms,192.403665918s,192.554292585s
0010010000_1011_000,y,0,10.122673ms,134.721416ms,184.986450267s,185.131294356s
011110111_0011111_1,y,0,10.522109ms,147.261675ms,216.48165476s,216.639438544s
00110111_011011_000,y,0,10.44834ms,113.452775ms,178.337538718s,178.461439833s
01101111_0001000_11,y,0,10.55996ms,156.687816ms,201.460131545s,201.627379321s
01010111_000000_011,y,0,10.038861ms,122.563851ms,176.445976635s,176.578579347s
010010100_0100111_1,y,0,8.964643ms,105.334307ms,187.525811414s,187.640110364s
0101010000000_11_00,y,0,10.099278ms,142.462513ms,193.251856367s,193.404418158s
011110110000_0100_1,y,0,9.218095ms,120.0904ms,187.581383143s,187.710691638s
0101111_010100_1011,y,0,9.636903ms,101.41363ms,168.514014003s,168.625064536s
0101111_0001000_011,y,0,9.751569ms,127.436179ms,174.261440649s,174.398628397s
0011110101011_000_1,y,0,9.725169ms,114.701312ms,182.012656037s,182.137082518s
100100000_0111_0000,y,0,9.311006ms,141.077074ms,195.950706666s,196.101094746s
011100111_0110000_1,y,0,10.426089ms,118.774831ms,219.580161548s,219.709362468s
01010111_01010000_1,y,0,10.218695ms,108.351086ms,172.981694973s,173.100264754s
010011000000_111_00,y,0,9.968888ms,144.516459ms,201.128972067s,201.283457414s
0110101111_01111_00,y,0,10.333968ms,118.810595ms,179.957005553s,180.086150116s
011000000_0111111_1,y,0,9.433787ms,152.890216ms,226.929988635s,227.092312638s
01111010011011_00_1,y,0,9.60531ms,110.413305ms,186.541333508s,186.661352123s
0110000_101000_0111,y,0,10.334239ms,111.337858ms,207.663192114s,207.784864211s
01001001000000_00_1,y,0,10.835104ms,146.157231ms,201.886333018s,202.043325353s
010010010111_111_00,y,0,10.062855ms,121.789992ms,201.389586155s,201.521439002s
