triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
10111111_0100000_00,y,0,1.13494ms,632.225µs,2.163262ms,3.930427ms
1000000000_0111_000,y,0,1.10686ms,833.129µs,2.334771ms,4.27476ms
01000000100_00000_1,y,0,1.149147ms,757.962µs,2.793125ms,4.700234ms
010010001000_111_00,y,0,1.225023ms,656.105µs,3.022011ms,4.903139ms
0100100000_01111_11,y,0,1.215413ms,646.798µs,3.041401ms,4.903612ms
011111011_10111_000,y,0,1.171144ms,848.099µs,2.953888ms,4.973131ms
1101111_0101111_000,y,0,1.206875ms,808.821µs,3.411005ms,5.426701ms
10000000_001111_000,y,0,1.162962ms,963.738µs,3.436021ms,5.562721ms
01100000000_0111_00,y,0,1.212304ms,950.163µs,3.692875ms,5.855342ms
0111011011000_000_1,y,0,1.273277ms,681.177µs,3.786162ms,5.740616ms
010111111_111011_00,y,0,1.221946ms,840.295µs,3.605904ms,5.668145ms
1011000_0010000_000,y,0,1.198619ms,805.595µs,3.699441ms,5.703655ms
1001110111_01111_00,y,0,1.244648ms,880.852µs,4.607515ms,6.733015ms
00100111_0100000_11,y,0,1.26185ms,1.041485ms,4.752504ms,7.055839ms
010001101000_000_11,y,0,1.31511ms,935.844µs,5.878876ms,8.12983ms
0010011000_0111_000,y,0,1.30681ms,797.135µs,5.905479ms,8.009424ms
01110001000_01111_1,y,0,1.219454ms,1.070006ms,5.976112ms,8.265572ms
10110001000_0111_00,y,0,1.29149ms,1.153619ms,6.005255ms,8.450364ms
0100110111_1011_000,y,0,1.314601ms,1.039862ms,6.318032ms,8.672495ms
00011111011_00000_1,y,0,1.211308ms,780.76µs,2.934454ms,4.926522ms
001011000_01000_111,y,0,1.306114ms,1.11912ms,6.358729ms,8.783963ms
00110000_001000_011,y,0,1.314624ms,1.002787ms,6.74189ms,9.059301ms
001111_010111_00100,y,0,1.358027ms,1.043004ms,6.870883ms,9.271914ms
00000000_00111_0111,y,0,1.126498ms,927.063µs,2.887342ms,4.940903ms
00100000_10111_0111,y,0,1.148952ms,861.024µs,2.785138ms,4.795114ms
0110000000_0000_111,y,0,1.076299ms,827.822µs,2.573334ms,4.477455ms
010000000_01111_000,y,0,1.116368ms,682.17µs,3.132594ms,4.931132ms
011010000000_0111_1,y,0,1.174917ms,1.020548ms,4.843802ms,7.039267ms
