triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
010111_00_1,y,0,427.565µs,572.186µs,8.631568ms,9.631319ms
01000_11_00,y,0,372.825µs,626.771µs,8.870047ms,9.869643ms
0111_0100_1,y,0,378.212µs,585.287µs,9.15456ms,10.118059ms
011111_00_1,y,0,529.446µs,605.758µs,9.296164ms,10.431368ms
01111_000_1,y,0,587.515µs,627.162µs,9.392158ms,10.606835ms
0111_0000_1,y,0,457.206µs,650.066µs,9.603677ms,10.710949ms
01111_11_00,y,0,724.539µs,605.278µs,9.844373ms,11.17419ms
010000_00_1,y,0,10.349792ms,537.749µs,8.577483ms,19.465024ms
011011_00_1,y,0,12.005435ms,578.754µs,8.076772ms,20.660961ms
