triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
0101000_0111_0100,y,0,15.59084ms,96.170552ms,54.424009328s,54.53577072s
010100100_1011_00,y,0,15.132557ms,99.103898ms,54.68489926s,54.799135715s
0010101000_0111_1,y,0,15.743365ms,105.501687ms,55.792230541s,55.913475593s
001010000_011_000,y,0,17.373206ms,110.685131ms,59.085057654s,59.213115991s
010001000_00100_1,y,0,16.900346ms,112.719648ms,59.77505683s,59.904676824s
101000_01111_0100,y,0,16.986552ms,106.500797ms,60.515876468s,60.639363817s
0101111_0100000_1,y,0,28.045657ms,115.392096ms,60.714508197s,60.85794595s
0100000_011111_00,y,0,20.311607ms,127.347094ms,61.78119197s,61.928850671s
0001000100_0000_1,y,0,19.347895ms,123.438518ms,64.056523195s,64.199309608s
001000000_01000_1,y,0,19.472246ms,126.093498ms,64.408944792s,64.554510536s
0111111_0010000_1,y,0,20.658012ms,137.051417ms,64.468262927s,64.625972356s
00100000_01111_11,y,0,20.521952ms,136.683917ms,64.573947189s,64.731153058s
0011111_0100100_1,y,0,17.174856ms,109.664516ms,64.668547033s,64.795386405s
010000_10000_0111,y,0,20.089505ms,121.099311ms,65.213939546s,65.355128362s
00001000_011111_1,y,0,21.047529ms,138.027296ms,65.395086921s,65.554161746s
00100000_000100_1,y,0,19.9242ms,122.230295ms,66.144060356s,66.286214851s
0110000_0010000_1,y,0,19.347577ms,118.016766ms,66.187468971s,66.324833314s
0100000_1011_0000,y,0,19.49423ms,123.992315ms,66.362967392s,66.506453937s
0000000_00111_011,y,0,20.171786ms,125.844513ms,68.865695872s,69.011712171s
0010000_1111_0000,y,0,21.756138ms,135.998168ms,68.846188388s,69.003942694s
000100000_00000_1,y,0,21.076849ms,134.479269ms,70.204468387s,70.360024505s
011000000_111_000,y,0,21.827402ms,133.901058ms,71.289532074s,71.445260534s
001100000_111_000,y,0,21.403061ms,128.22508ms,73.20961096s,73.359239101s
0011000000_0000_1,y,0,21.782451ms,125.113413ms,74.516008169s,74.662904033s
0010100_0101000_1,y,0,5.422058ms,49.141065ms,56.085473594s,56.140036717s
011000_10111_0100,y,0,5.721931ms,58.463277ms,61.378353136s,61.442538344s
