triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
0000100000_01101111_1,y,0,1.479872ms,781.316µs,2.86915ms,5.130338ms
011000000000_10111_00,y,0,1.458562ms,990.639µs,3.764949ms,6.21415ms
1000000000000_0111_00,y,0,1.364359ms,950.624µs,2.57478ms,4.889763ms
00010000_1011111_0000,y,0,1.357855ms,745.648µs,2.968303ms,5.071806ms
0100000000_01011111_1,y,0,1.412184ms,1.294108ms,4.209707ms,6.915999ms
00111110111_11011_000,y,0,1.501316ms,1.046458ms,4.4197ms,6.967474ms
10111011011_01111_000,y,0,1.580645ms,1.003938ms,4.427179ms,7.011762ms
01110000000_10111_000,y,0,1.415367ms,1.25372ms,4.741833ms,7.41092ms
0011101111011_01111_1,y,0,1.499194ms,968.927µs,5.102939ms,7.57106ms
00101000000_01000_111,y,0,1.485669ms,1.410321ms,4.82344ms,7.71943ms
0111111_0110000_01000,y,0,1.509959ms,1.610842ms,6.9799ms,10.100701ms
010100011000000_11_00,y,0,1.542715ms,1.200112ms,5.891358ms,8.634185ms
01100100000_01111_000,y,0,1.507151ms,1.165375ms,7.05045ms,9.722976ms
01010111_000000_00111,y,0,1.585419ms,1.491782ms,8.851974ms,11.929175ms
010111001000_000100_1,y,0,1.636707ms,1.453855ms,6.939321ms,10.029883ms
100000000000_0111_000,y,0,1.335172ms,1.045059ms,2.84766ms,5.227891ms
010001110111_0000_011,y,0,1.605109ms,1.48065ms,9.766761ms,12.85252ms
00100110111_00000_011,y,0,1.632576ms,1.474227ms,8.52494ms,11.631743ms
010000100_01011000_00,y,0,1.679668ms,1.662907ms,9.933185ms,13.27576ms
10011000_0111111_0100,y,0,1.514021ms,1.669957ms,9.193673ms,12.377651ms
0101011000100_1111_00,y,0,1.669619ms,1.593741ms,8.31191ms,11.57527ms
0100100010000_0111_00,y,0,1.614055ms,1.069672ms,5.048926ms,7.732653ms
011001000_10110000_00,y,0,1.574589ms,1.648497ms,10.281331ms,13.504417ms
010100111_01001000_11,y,0,1.775784ms,1.570067ms,11.251127ms,14.596978ms
0101101000100_0111_00,y,0,1.894474ms,1.708271ms,11.140137ms,14.742882ms
0100000000000_0000_11,y,0,1.315108ms,1.011488ms,2.287417ms,4.614013ms
01010000000_0100_1000,y,0,1.482523ms,1.773962ms,8.955371ms,12.211856ms
011111011000_000100_1,y,0,1.453369ms,860.881µs,3.415485ms,5.729735ms
1001001000000_0111_00,y,0,1.483682ms,1.287611ms,5.337811ms,8.109104ms
00110000100_010000_11,y,0,1.474608ms,1.223882ms,6.07772ms,8.77621ms
010111100100000_11_00,y,0,1.493652ms,52.997µs,34.094µs,1.580743ms
010000000_0100111_011,y,0,1.521311ms,1.695175ms,8.884208ms,12.100694ms
01011111011_01111_000,y,0,1.517242ms,1.170276ms,5.423921ms,8.111439ms
011001000100000_11_00,y,0,1.479475ms,945.375µs,4.674317ms,7.099167ms
01001001000_011011_00,y,0,1.822557ms,1.137409ms,6.246005ms,9.205971ms
0101111_0011011_01000,y,0,1.690526ms,1.922894ms,14.269733ms,17.883153ms
00110110000_0100000_1,y,0,1.49544ms,1.345732ms,8.955352ms,11.796524ms
10011001000_011111_00,y,0,1.510902ms,1.359681ms,9.023139ms,11.893722ms
0111011101011_1111_00,y,0,1.510121ms,1.185961ms,5.52072ms,8.216802ms
01111101011000_000_11,y,0,1.522687ms,1.15646ms,4.804047ms,7.483194ms
01011000000_010000_11,y,0,1.475422ms,1.631834ms,7.189624ms,10.29688ms
11011000_001000_01111,y,0,1.494988ms,1.106394ms,5.066735ms,7.668117ms
0100000_010111_011011,y,0,1.710161ms,1.575834ms,9.580229ms,12.866224ms
00000000000_00111_011,y,0,1.364455ms,987.702µs,3.267049ms,5.619206ms
0011001000_00100100_1,y,0,1.643855ms,1.581583ms,10.433517ms,13.658955ms
011110111011_0000_111,y,0,1.409052ms,881.588µs,3.233051ms,5.523691ms
1001110111_001111_000,y,0,1.478046ms,1.214729ms,5.718994ms,8.411769ms
0100111_0110000_11111,y,0,1.432549ms,1.392691ms,6.579903ms,9.405143ms
010100101000_011111_1,y,0,1.728807ms,1.332639ms,6.963065ms,10.024511ms
01111001111_10111_000,y,0,1.441394ms,938.856µs,4.906515ms,7.286765ms
