triad,polymorphism,backtracked,indicator_time,ac_time,search_time
010000|11|00,y,0,2.69294ms,13.473013ms,141.498375ms
0101111|00|1,y,0,1.882502ms,11.833558ms,136.024914ms
011111|000|1,y,0,1.717956ms,13.54474ms,140.6908ms
0111111|00|1,y,0,1.724171ms,12.380904ms,147.490897ms
0100000|00|1,y,0,1.707899ms,11.238231ms,133.676919ms
010111|000|1,y,0,3.927944ms,30.178419ms,156.079909ms
0110111|00|1,y,0,1.664667ms,11.337755ms,124.842835ms
001111|000|1,y,0,1.895493ms,11.260092ms,155.572582ms
01000|111|00,y,0,1.754064ms,12.027647ms,138.976546ms
01000|0111|1,y,0,1.76419ms,11.168739ms,123.425406ms
010000|000|1,y,0,4.742852ms,33.982395ms,178.861158ms
0100100|00|1,y,0,1.695257ms,9.83051ms,132.583903ms
0111011|00|1,y,0,1.668578ms,11.786415ms,129.367013ms
011111|11|00,y,0,4.712681ms,32.778471ms,190.819802ms
01000|011|00,y,0,4.254941ms,25.830241ms,158.522049ms
0111|1011|00,y,0,5.031367ms,28.687378ms,166.471593ms
01111|000|11,y,0,2.199163ms,12.197851ms,143.127702ms
001000|000|1,y,0,4.169106ms,27.336648ms,166.85579ms
00100|0111|1,y,0,2.637905ms,10.822885ms,132.078951ms
011011|000|1,y,0,6.232427ms,34.484414ms,158.966589ms
01111|0000|1,y,0,4.882464ms,33.094852ms,164.719485ms
01111|0100|1,y,0,2.827874ms,31.790636ms,169.557531ms
00000|0111|1,y,0,5.396218ms,14.937445ms,163.403256ms
0101000|00|1,y,0,4.644795ms,11.184244ms,129.291725ms
