triad,polymorphism,backtracked,indicator_time,ac_time,search_time
0100000|011|00,y,0,2.403727ms,20.496951ms,259.398078ms
00111|0111|000,y,0,2.400864ms,17.431267ms,270.111801ms
00100|01000|11,y,0,2.372928ms,19.905045ms,256.268839ms
010000|00100|1,y,0,2.397442ms,18.952201ms,265.850854ms
0100000|111|00,y,0,2.522178ms,20.811027ms,257.415424ms
0010000|000|11,y,0,2.324737ms,20.484659ms,263.673622ms
010000|01111|1,y,0,2.272077ms,20.32116ms,241.449566ms
010100000|00|1,y,0,2.288908ms,18.594963ms,261.57077ms
01000100|11|00,y,0,2.392134ms,17.580588ms,255.285334ms
010101111|00|1,y,0,2.412038ms,19.879833ms,249.099771ms
00111011|000|1,y,0,2.287022ms,18.746588ms,287.318389ms
010100|01111|1,y,0,2.383892ms,17.847172ms,249.38186ms
01111|11011|00,y,0,2.344083ms,19.015687ms,288.367336ms
01101111|11|00,y,0,2.365175ms,18.679471ms,268.253534ms
0000100|0111|1,y,0,2.38976ms,19.395205ms,278.050241ms
011111|0100|11,y,0,2.366293ms,20.029713ms,284.593321ms
010100100|00|1,y,0,2.264534ms,16.497699ms,244.959161ms
01111011|000|1,y,0,2.299873ms,18.117319ms,266.830448ms
011011|00000|1,y,0,2.310908ms,20.601712ms,272.575732ms
01111|10111|00,y,0,2.426356ms,18.168721ms,274.691224ms
010010100|00|1,y,0,2.401632ms,16.059445ms,241.353813ms
01011111|11|00,y,0,2.30148ms,20.117293ms,289.53557ms
011111|1011|00,y,0,2.357563ms,20.503027ms,282.558007ms
0100100|0111|1,y,0,2.359448ms,18.148887ms,246.18683ms
01100111|000|1,y,0,2.59167ms,18.48189ms,295.64361ms
011011|01000|1,y,0,2.334724ms,17.332372ms,246.023262ms
011101011|00|1,y,0,2.355398ms,17.441814ms,253.465549ms
11111|01000|00,y,0,2.302249ms,21.160513ms,283.537601ms
01111111|11|00,y,0,2.341638ms,22.246056ms,319.379381ms
0010100|0111|1,y,0,2.298966ms,18.81189ms,251.098ms
011011|00100|1,y,0,2.379004ms,17.954378ms,251.296069ms
01010111|000|1,y,0,2.5124ms,18.710411ms,243.269421ms
011011011|00|1,y,0,2.302458ms,18.817128ms,250.365434ms
0111011|0000|1,y,0,2.373975ms,20.347351ms,262.984079ms
00110111|000|1,y,0,2.382077ms,19.266068ms,277.708228ms
010111|00000|1,y,0,2.516033ms,20.009319ms,266.021686ms
0110111|000|11,y,0,2.398211ms,20.951478ms,261.22778ms
0111011|0100|1,y,0,2.339125ms,18.123116ms,255.405392ms
01110111|000|1,y,0,2.353303ms,20.075389ms,254.140845ms
010111011|00|1,y,0,2.282972ms,18.640848ms,257.501817ms
010111|01000|1,y,0,5.570052ms,55.073206ms,257.986516ms
01001111|000|1,y,0,2.277664ms,20.962373ms,287.976503ms
010111|00100|1,y,0,2.334376ms,17.774817ms,245.780284ms
011111011|00|1,y,0,2.390108ms,19.614296ms,284.703531ms
00101111|000|1,y,0,2.323969ms,19.448354ms,314.403468ms
0100111|0111|1,y,0,2.300362ms,17.321197ms,288.386821ms
0101111|000|11,y,0,2.374813ms,19.688818ms,274.782856ms
001111|00000|1,y,0,2.425379ms,21.654919ms,317.524605ms
0110111|0000|1,y,0,2.318591ms,19.225909ms,258.886909ms
01101111|000|1,y,0,2.355188ms,20.339668ms,249.422297ms
011100111|00|1,y,0,2.333048ms,19.032239ms,305.6328ms
0110111|0100|1,y,0,2.339544ms,18.129611ms,252.14946ms
01011111|000|1,y,0,2.56555ms,19.657179ms,263.240187ms
0101111|011|00,y,0,2.461696ms,17.897109ms,255.008902ms
001111|01000|1,y,0,2.394369ms,19.232055ms,288.16291ms
00111111|000|1,y,0,2.314121ms,22.28391ms,320.4182ms
0110111|0111|1,y,0,2.285068ms,18.355128ms,302.406411ms
0100000|000|11,y,0,6.745621ms,60.825544ms,287.385646ms
011001000|00|1,y,0,5.975481ms,46.380201ms,301.515656ms
011000|0111|00,y,0,5.941258ms,47.008424ms,293.094962ms
010000000|00|1,y,0,2.303086ms,22.228875ms,292.607469ms
01111|00100|11,y,0,2.288909ms,18.931319ms,277.047111ms
0100000|0000|1,y,0,2.387245ms,19.885211ms,308.671384ms
011000|01000|1,y,0,2.32781ms,17.887191ms,275.869587ms
0110000|0111|1,y,0,2.368667ms,17.925395ms,318.938542ms
0011000|0111|1,y,0,2.301829ms,17.795629ms,290.256612ms
011111|0000|11,y,0,2.374255ms,20.596614ms,280.305555ms
000000|01111|1,y,0,2.356654ms,21.621046ms,276.084558ms
01100000|11|00,y,0,2.296103ms,20.271922ms,296.182784ms
01011011|000|1,y,0,2.362381ms,17.222302ms,243.852595ms
01111111|000|1,y,0,2.36329ms,21.450634ms,281.991943ms
001111|00100|1,y,0,2.62666ms,18.27516ms,285.922262ms
010000|011|000,y,0,2.320617ms,18.791776ms,273.715751ms
0000000|0111|1,y,0,4.50602ms,62.576186ms,308.515219ms
101111|0111|00,y,0,5.829932ms,58.459321ms,277.703898ms
000100|01111|1,y,0,5.613424ms,55.270368ms,279.54275ms
0111011|000|11,y,0,5.433512ms,56.675785ms,282.924534ms
0101000|0111|1,y,0,2.935708ms,18.309661ms,233.502745ms
0111|1011|0100,y,0,5.70331ms,46.473369ms,280.041905ms
011010111|00|1,y,0,4.982059ms,48.350145ms,257.363252ms
01110111|11|00,y,0,6.055589ms,49.835668ms,286.659995ms
010000100|00|1,y,0,3.583556ms,18.510036ms,268.220709ms
010001000|00|1,y,0,3.862362ms,20.066379ms,264.966663ms
01000000|11|00,y,0,3.679448ms,30.103549ms,303.298285ms
010000|1011|00,y,0,9.166669ms,54.801175ms,268.37841ms
