triad,polymorphism,backtracked,indicator_time,ac_time,search_time
0111|0100|1000,y,0,3.110172ms,50.164341ms,281.641061ms
0111|1011|0000,y,0,2.309861ms,18.20008ms,265.322435ms
00110000|000|1,y,0,2.299315ms,18.849813ms,316.876967ms
01010000|11|00,y,0,2.280458ms,18.87775ms,246.402849ms
010000|0111|00,y,0,2.376349ms,18.902265ms,241.902068ms
10111|0111|000,y,0,2.311886ms,18.436772ms,257.609372ms
001000|01000|1,y,0,2.362452ms,18.024849ms,260.103405ms
010010000|00|1,y,0,2.295404ms,18.651325ms,253.467156ms
0101000|011|00,y,0,2.405753ms,17.882442ms,244.887922ms
01111|1011|000,y,0,2.387664ms,18.456468ms,263.376098ms
010000|1111|00,y,0,2.485722ms,21.053376ms,261.856072ms
0010000|0000|1,y,0,2.403448ms,20.467268ms,283.166884ms
01110000|000|1,y,0,6.567106ms,24.758038ms,319.616492ms
001000|011|000,y,0,2.289117ms,18.813636ms,262.830917ms
11011|01000|00,y,0,2.317753ms,18.906525ms,260.135323ms
0010000|0111|1,y,0,2.285905ms,20.261586ms,247.604189ms
001000|01111|1,y,0,2.351835ms,17.963807ms,245.850475ms
01001000|11|00,y,0,2.339613ms,18.387255ms,241.331325ms
01001000|000|1,y,0,2.438858ms,19.420347ms,268.375756ms
0101000|111|00,y,0,2.276477ms,18.076951ms,248.827948ms
011000|0100|11,y,0,2.329347ms,18.210138ms,270.266429ms
10111|01000|00,y,0,2.363918ms,17.237388ms,239.526067ms
01000000|000|1,y,0,2.363848ms,21.386939ms,301.723363ms
010000|111|000,y,0,2.351975ms,18.969731ms,275.946412ms
01010000|000|1,y,0,2.310699ms,19.139027ms,274.381967ms
0110000|111|00,y,0,2.293238ms,20.321579ms,291.306606ms
01011|01000|00,y,0,2.29275ms,17.343337ms,245.686418ms
0100000|0111|1,y,0,2.34101ms,20.685941ms,251.030603ms
01111|10000|00,y,0,2.370972ms,20.192094ms,282.789391ms
010111|011|000,y,0,2.34981ms,15.911521ms,233.53159ms
0001000|0000|1,y,0,2.331861ms,19.940665ms,276.172558ms
010101000|00|1,y,0,2.305182ms,16.991268ms,237.294498ms
01000100|000|1,y,0,2.37195ms,17.990208ms,274.746538ms
0100100|111|00,y,0,2.356934ms,20.440659ms,255.470553ms
01111011|11|00,y,0,2.351137ms,19.221439ms,284.101849ms
011000|01111|1,y,0,2.268515ms,17.55342ms,319.317222ms
001111|011|000,y,0,2.285556ms,19.887097ms,278.936038ms
010011000|00|1,y,0,2.303295ms,18.075483ms,283.95609ms
00100100|000|1,y,0,2.302947ms,17.140728ms,255.955461ms
0001000|0111|1,y,0,2.34094ms,19.218575ms,251.197663ms
101011|0111|00,y,0,2.282204ms,16.979184ms,251.135645ms
01111|01000|00,y,0,2.35463ms,19.6217ms,242.824741ms
011011000|00|1,y,0,2.390667ms,17.530931ms,281.058165ms
01101011|000|1,y,0,2.350578ms,19.248817ms,245.338189ms
0101000|0100|1,y,0,2.38955ms,16.575852ms,243.378302ms
010111|1011|00,y,0,2.352883ms,18.018493ms,259.07583ms
01111|01000|11,y,0,2.295753ms,19.019388ms,253.589308ms
011111|111|000,y,0,2.309093ms,21.305294ms,300.692786ms
0101111|0000|1,y,0,2.284718ms,21.033401ms,250.822825ms
010110111|00|1,y,0,2.404216ms,16.89768ms,243.202373ms
0011111|000|11,y,0,2.375582ms,20.139014ms,319.503768ms
001111|01111|1,y,0,2.289956ms,18.904988ms,314.255334ms
0101111|0100|1,y,0,2.34548ms,17.163287ms,250.465796ms
011110111|00|1,y,0,2.376489ms,20.377313ms,261.49171ms
011111|00000|1,y,0,2.377258ms,22.403198ms,267.982271ms
0111111|000|11,y,0,2.396045ms,22.729986ms,286.161119ms
0011111|0000|1,y,0,2.366502ms,21.62817ms,300.899656ms
011111|01000|1,y,0,2.285277ms,20.534176ms,252.264838ms
011001111|00|1,y,0,2.467353ms,17.955496ms,293.369717ms
011111|00100|1,y,0,2.29694ms,19.926278ms,269.303598ms
0111111|111|00,y,0,2.360496ms,22.429249ms,321.85253ms
00101000|000|1,y,0,2.434458ms,19.170386ms,249.037263ms
01111|00000|11,y,0,2.290584ms,22.344532ms,289.050244ms
0100100|011|00,y,0,2.413505ms,16.282448ms,241.981477ms
00100000|000|1,y,0,2.38927ms,20.60716ms,275.149732ms
00111|0000|011,y,0,2.34541ms,18.87342ms,281.336134ms
100000|0111|00,y,0,2.343944ms,22.198634ms,291.447056ms
0111111|0100|1,y,0,2.337658ms,18.610677ms,274.974641ms
011101111|00|1,y,0,2.275709ms,20.675326ms,250.953568ms
011011111|00|1,y,0,2.27969ms,18.448575ms,258.733259ms
010111111|00|1,y,0,2.288001ms,20.497299ms,275.733885ms
011111111|00|1,y,0,2.387874ms,23.229142ms,307.277073ms
0111111|0000|1,y,0,2.403797ms,19.812296ms,268.495394ms
001000|111|000,y,0,2.304204ms,20.389465ms,272.307262ms
