triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
01000001000_111_00,y,0,1.006267ms,568.64µs,1.911739ms,3.486646ms
0100001000000_00_1,y,0,1.123601ms,601.193µs,1.90876ms,3.633554ms
0100000_101111_000,y,0,1.114746ms,558.198µs,2.140129ms,3.813073ms
000101000_01111_11,y,0,1.06341ms,735.535µs,2.586744ms,4.385689ms
0101111011_0000_11,y,0,1.151444ms,715.021µs,2.692932ms,4.559397ms
0001000_0100000_11,y,0,1.111822ms,630.013µs,2.879335ms,4.62117ms
100000_01111_00100,y,0,1.070538ms,692.882µs,3.164518ms,4.927938ms
001010000000_000_1,y,0,1.029547ms,797.616µs,3.191031ms,5.018194ms
0110111_1000000_00,y,0,1.050474ms,726.087µs,3.238265ms,5.014826ms
010000_11011_00100,y,0,1.162292ms,623.627µs,3.439209ms,5.225128ms
0100000100_011_000,y,0,1.196672ms,676.04µs,3.441055ms,5.313767ms
100100000_01111_00,y,0,1.115356ms,675.994µs,3.483522ms,5.274872ms
001111011000_000_1,y,0,1.101366ms,724.255µs,3.603614ms,5.429235ms
010010000_000100_1,y,0,1.192731ms,717.106µs,3.772055ms,5.681892ms
0100100_011000_111,y,0,1.116365ms,752.943µs,4.583895ms,6.453203ms
0100000_001000_011,y,0,1.286988ms,938.306µs,4.302259ms,6.527553ms
001000_01000_10000,y,0,1.054102ms,870.818µs,4.850983ms,6.775903ms
001111_010111_0000,y,0,1.061521ms,1.031208ms,4.726641ms,6.81937ms
0100000_01011_0000,y,0,1.112109ms,1.107731ms,5.25187ms,7.47171ms
0110101111_1011_00,y,0,1.14365ms,1.073291ms,5.727968ms,7.944909ms
011000000_11011_00,y,0,1.030103ms,698.796µs,2.558619ms,4.287518ms
0010000000_111_000,y,0,948.851µs,482.898µs,1.780551ms,3.2123ms
10000000_01111_000,y,0,949.527µs,681.352µs,2.176853ms,3.807732ms
0011100111_011_000,y,0,1.223934ms,889.013µs,5.950653ms,8.0636ms
0100111_0110000_11,y,0,1.115525ms,1.00598ms,5.849595ms,7.9711ms
00010000_0111_0000,y,0,995.632µs,676.088µs,2.6872ms,4.35892ms
0110110111_111_000,y,0,1.039747ms,734.112µs,3.202129ms,4.975988ms
0011000_0101000_11,y,0,1.090157ms,1.022033ms,6.40123ms,8.51342ms
010001000_11111_00,y,0,994.316µs,715.922µs,2.028264ms,3.738502ms
1000000_011111_000,y,0,981.84µs,813.643µs,2.193854ms,3.989337ms
011000000_00100_11,y,0,1.012684ms,763.182µs,3.181629ms,4.957495ms
0010000_101011_000,y,0,1.066ms,693.359µs,3.179494ms,4.938853ms
1000100_0101000_00,y,0,1.223131ms,965.702µs,8.157398ms,10.346231ms
0100000_110111_000,y,0,976.406µs,627.538µs,2.054089ms,3.658033ms
010000_01111_00111,y,0,1.04273ms,865.894µs,4.550644ms,6.459268ms
1010111_00100_0111,y,0,1.128659ms,771.037µs,3.988239ms,5.887935ms
0100000_11111_0000,y,0,969.022µs,579.978µs,1.846106ms,3.395106ms
001100010100_000_1,y,0,1.122843ms,917.836µs,5.299467ms,7.340146ms
0010100000_111_000,y,0,986.806µs,694.855µs,3.130409ms,4.81207ms
0100001000_0000_11,y,0,1.006902ms,629.936µs,2.637239ms,4.274077ms
001000_11011_01000,y,0,1.056418ms,660.808µs,3.03909ms,4.756316ms
00101010000_000_11,y,0,1.07264ms,956.349µs,5.387278ms,7.416267ms
010110000_10111_00,y,0,1.094839ms,879.962µs,4.835818ms,6.810619ms
011000_010000_1011,y,0,1.076962ms,938.457µs,4.785709ms,6.801128ms
010110000000_11_00,y,0,1.005627ms,937.887µs,3.438925ms,5.382439ms
1001000000_0111_00,y,0,1.008884ms,871.005µs,3.460253ms,5.340142ms
01110111_1011_0100,y,0,1.17654ms,671.789µs,4.146731ms,5.99506ms
01000000_1111_0000,y,0,941.101µs,699ns,77ns,941.877µs
0010000_01000_1111,y,0,1.000636ms,718.809µs,2.560127ms,4.279572ms
010000000_01011_00,y,0,1.093125ms,869.794µs,4.788397ms,6.751316ms
0100011001000_00_1,y,0,1.165382ms,733.533µs,4.802073ms,6.700988ms
0100000_001111_000,y,0,1.023987ms,834.409µs,4.172389ms,6.030785ms
0100110000000_00_1,y,0,1.034986ms,761.5µs,3.851509ms,5.647995ms
0101111_0101000_00,y,0,1.181809ms,1.204519ms,8.361644ms,10.747972ms
010100000_00100_11,y,0,1.110245ms,788.275µs,3.997707ms,5.896227ms
0110000000_1111_00,y,0,1.006672ms,515.393µs,1.993695ms,3.51576ms
0100000_101011_000,y,0,1.10331ms,881.95µs,3.302641ms,5.287901ms
0101000000_011_000,y,0,1.080395ms,1.278104ms,4.962151ms,7.32065ms
0100000000_1111_00,y,0,943.664µs,520.611µs,1.568118ms,3.032393ms
01011000000_000_11,y,0,1.015307ms,895.557µs,3.589134ms,5.499998ms
1010000000_0111_00,y,0,1.000881ms,979.151µs,3.140196ms,5.120228ms
0101001000_0111_00,y,0,1.22966ms,1.148042ms,6.392281ms,8.769983ms
0101000_00111_0111,y,0,1.129371ms,1.200566ms,7.500491ms,9.830428ms
0001111_001111_011,y,0,1.018438ms,889.598µs,5.015643ms,6.923679ms
01000100_0111_1000,y,0,1.114538ms,733.853µs,4.004598ms,5.852989ms
010100100_10111_00,y,0,1.223568ms,900.839µs,4.548369ms,6.672776ms
0111001000000_00_1,y,0,1.027988ms,856.29µs,3.559499ms,5.443777ms
001111_10111_01000,y,0,1.091523ms,1.208528ms,10.634863ms,12.934914ms
101111_010111_0100,y,0,1.159948ms,974.4µs,5.131494ms,7.265842ms
0100001110000_00_1,y,0,1.105925ms,732.662µs,4.133744ms,5.972331ms
1000000_010111_000,y,0,1.022779ms,825.011µs,3.630209ms,5.477999ms
1000000_01111_0000,y,0,977.382µs,620.054µs,2.338835ms,3.936271ms
0111000110000_00_1,y,0,1.064798ms,1.009287ms,5.352665ms,7.42675ms
00101000000_000_11,y,0,997.809µs,658.664µs,3.159153ms,4.815626ms
0100100000_111_000,y,0,1.001993ms,759.734µs,3.453559ms,5.215286ms
01010000_0111_1000,y,0,1.055465ms,926.401µs,5.724176ms,7.706042ms
0010010000_01111_1,y,0,1.039875ms,498.294µs,2.087382ms,3.625551ms
01100101000_111_00,y,0,1.082498ms,950.629µs,5.671492ms,7.704619ms
010000_01111_10000,y,0,993.03µs,767.333µs,3.633005ms,5.393368ms
01001001000_111_00,y,0,1.105571ms,652.034µs,3.14448ms,4.902085ms
0100010000_111_000,y,0,983.783µs,604.849µs,2.509524ms,4.098156ms
01100000_0111_0000,y,0,1.035742ms,790.51µs,3.894933ms,5.721185ms
011011000_10000_00,y,0,1.042359ms,951.815µs,5.450501ms,7.444675ms
010100_011000_1111,y,0,1.071435ms,968.112µs,5.713791ms,7.753338ms
110000100_01111_00,y,0,1.039353ms,757.814µs,3.601063ms,5.39823ms
01010110111_011_00,y,0,1.324941ms,1.235034ms,8.291084ms,10.851059ms
0101000000_0111_00,y,0,1.077395ms,1.037083ms,4.78122ms,6.895698ms
101111_001000_0111,y,0,1.07474ms,562.668µs,2.598865ms,4.236273ms
001110000_00100_11,y,0,1.038552ms,876.462µs,4.968392ms,6.883406ms
001000_01011_01000,y,0,1.242678ms,1.169128ms,6.687186ms,9.098992ms
0111010010000_00_1,y,0,1.12293ms,759.738µs,4.684455ms,6.567123ms
01000000_0111_0000,y,0,1.023803ms,738.523µs,3.168625ms,4.930951ms
000100_001000_1111,y,0,1.082902ms,666.843µs,2.937474ms,4.687219ms
0100000_00100_1111,y,0,1.016975ms,621.17µs,2.591123ms,4.229268ms
001111_001000_1011,y,0,1.069098ms,764.022µs,3.784571ms,5.617691ms
011111_101111_0000,y,0,987.805µs,636.986µs,2.324116ms,3.948907ms
0010000_011011_000,y,0,1.118681ms,754.243µs,3.180362ms,5.053286ms
0110000_0100000_00,y,0,1.068744ms,890.956µs,4.925269ms,6.884969ms
011100000_000000_1,y,0,979.676µs,719.172µs,2.420693ms,4.119541ms
0110101110000_00_1,y,0,1.082572ms,907.908µs,5.797159ms,7.787639ms
010010110000_000_1,y,0,1.114775ms,818.515µs,6.065966ms,7.999256ms
011100001000_000_1,y,0,1.038533ms,760.984µs,3.535621ms,5.335138ms
0100000_01111_0000,y,0,1.022912ms,648.317µs,3.203123ms,4.874352ms
0101001000100_00_1,y,0,1.198617ms,683.675µs,4.301216ms,6.183508ms
001000_01111_11011,y,0,1.07874ms,576.708µs,2.824278ms,4.479726ms
0011000000_011_000,y,0,1.056385ms,886.62µs,4.127553ms,6.070558ms
0100000_100111_000,y,0,1.011139ms,710.615µs,3.699939ms,5.421693ms
0110111011000_00_1,y,0,1.14467ms,639.602µs,3.481884ms,5.266156ms
0101000000000_00_1,y,0,1.042842ms,789.903µs,2.653432ms,4.486177ms
0010000_001111_000,y,0,1.021728ms,806.978µs,4.313126ms,6.141832ms
0110000000_0111_00,y,0,1.054531ms,765.063µs,3.45741ms,5.277004ms
001111_01111_10000,y,0,1.069868ms,763.28µs,3.901506ms,5.734654ms
0011000_010000_111,y,0,1.026126ms,859.342µs,4.042976ms,5.928444ms
0110010000000_00_1,y,0,1.047231ms,865.258µs,3.415059ms,5.327548ms
01100000_0111_1011,y,0,1.162763ms,1.319505ms,13.168815ms,15.651083ms
01100000_1111_0100,y,0,1.053727ms,826.274µs,4.336411ms,6.216412ms
010000000_01111_00,y,0,1.031863ms,863.93µs,2.694183ms,4.589976ms
101111_01111_00100,y,0,1.041669ms,718.524µs,2.746596ms,4.506789ms
0100000_011111_000,y,0,1.04288ms,610.85µs,2.908652ms,4.562382ms
0111011_1011011_00,y,0,1.137576ms,808.618µs,4.566316ms,6.51251ms
01011111_1011_0000,y,0,1.061384ms,825.616µs,3.151976ms,5.038976ms
0010000_01011_0000,y,0,1.174546ms,786.804µs,4.247729ms,6.209079ms
1001000100_0111_00,y,0,1.119334ms,789.945µs,4.003102ms,5.912381ms
00110111_1011_0000,y,0,1.089359ms,799.565µs,3.979143ms,5.868067ms
000100_010000_1011,y,0,1.097231ms,666.304µs,3.22225ms,4.985785ms
0100111_000100_011,y,0,1.175061ms,896.421µs,5.176076ms,7.247558ms
0100111_0101000_11,y,0,1.150447ms,1.03515ms,7.375075ms,9.560672ms
00100100000_000_11,y,0,1.012273ms,632.839µs,2.71414ms,4.359252ms
0101111011_0100_11,y,0,1.156129ms,632.387µs,4.347562ms,6.136078ms
0010000_010000_011,y,0,1.131265ms,816.832µs,4.296345ms,6.244442ms
01010000000_111_00,y,0,1.014201ms,831.516µs,2.657775ms,4.503492ms
0100000_10111_0000,y,0,1.00703ms,643.531µs,2.295018ms,3.945579ms
0101000_0010000_11,y,0,1.142849ms,839.643µs,4.053161ms,6.035653ms
011000_010000_0111,y,0,1.089642ms,1.171814ms,5.758211ms,8.019667ms
010000_00100_10000,y,0,1.068123ms,757.786µs,5.124201ms,6.95011ms
001011000100_000_1,y,0,1.141946ms,898.043µs,5.475534ms,7.515523ms
001000000_011111_1,y,0,976.528µs,531.619µs,1.632502ms,3.140649ms
01001110000_111_00,y,0,1.071403ms,795.576µs,4.605775ms,6.472754ms
011010000_00100_11,y,0,1.093018ms,824.114µs,4.341072ms,6.258204ms
01101000000_111_00,y,0,1.013839ms,727.9µs,3.099128ms,4.840867ms
0011000000_0000_11,y,0,988.239µs,674.832µs,2.773776ms,4.436847ms
0100000_00111_0000,y,0,1.043501ms,950.802µs,4.326057ms,6.32036ms
010000110000_000_1,y,0,1.050854ms,677.317µs,3.546408ms,5.274579ms
001000100000_000_1,y,0,1.007663ms,540.946µs,2.221146ms,3.769755ms
00010000_00000_111,y,0,946.054µs,630.126µs,2.08214ms,3.65832ms
0101110111_011_000,y,0,1.188342ms,833.697µs,4.14911ms,6.171149ms
0110111_001000_000,y,0,1.09841ms,703.367µs,3.118071ms,4.919848ms
110000_01111_01000,y,0,1.005092ms,749.495µs,4.058478ms,5.813065ms
0111010001000_00_1,y,0,1.101895ms,831.18µs,4.722578ms,6.655653ms
010000_00111_00100,y,0,1.119027ms,967.96µs,6.092054ms,8.179041ms
01001000000_111_00,y,0,1.017372ms,579.481µs,2.316273ms,3.913126ms
0001000_0010000_11,y,0,1.009138ms,678.223µs,3.074151ms,4.761512ms
010101000_010100_1,y,0,1.302459ms,1.860242ms,13.390757ms,16.553458ms
001101000000_000_1,y,0,1.0391ms,970.847µs,4.036766ms,6.046713ms
0100000_001000_111,y,0,997.937µs,620.981µs,2.761976ms,4.380894ms
001000_010000_1111,y,0,1.003936ms,635.065µs,2.774794ms,4.413795ms
0101000_01111_1000,y,0,1.089374ms,884.714µs,5.720598ms,7.694686ms
0010100_011111_111,y,0,1.066855ms,743.496µs,3.026578ms,4.836929ms
0010100_010111_011,y,0,1.348337ms,1.029774ms,6.105763ms,8.483874ms
0100001000_1011_00,y,0,1.096573ms,536.296µs,2.437577ms,4.070446ms
0100011000_1011_00,y,0,1.136994ms,639.249µs,3.96081ms,5.737053ms
1011000_0100000_00,y,0,1.040226ms,261.223µs,603.892µs,1.905341ms
000100_011000_0111,y,0,1.097354ms,702.85µs,4.031153ms,5.831357ms
