triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
011111_010000_1,y,0,3.651013ms,32.036097ms,21.083650508s,21.119337618s
010111_010100_1,y,0,3.535446ms,20.464577ms,22.667714605s,22.691714628s
011101111_000_1,y,0,3.73926ms,34.907257ms,20.704469018s,20.743115535s
010101111_000_1,y,0,3.646482ms,24.922324ms,19.895102591s,19.923671397s
0100000_01111_1,y,0,3.542425ms,31.782944ms,20.431432327s,20.466757696s
0100001000_00_1,y,0,3.896999ms,32.706513ms,21.204811006s,21.241414518s
010010000_11_00,y,0,3.678637ms,28.956192ms,20.847537152s,20.880171981s
011011000_000_1,y,0,3.733923ms,26.598193ms,21.004563112s,21.034895228s
010111_10000_00,y,0,3.966257ms,28.680251ms,22.305063606s,22.337710114s
00100100_0111_1,y,0,3.605772ms,27.254828ms,20.019036659s,20.049897259s
0100100_1011_00,y,0,3.621735ms,23.48959ms,20.744833419s,20.771944744s
01010000_111_00,y,0,3.910241ms,32.452931ms,21.674697631s,21.711060803s
0100000_111_000,y,0,3.734462ms,33.92953ms,25.476027271s,25.513691263s
0011000_01000_1,y,0,3.75294ms,25.679508ms,21.658285121s,21.687717569s
010101111_11_00,y,0,3.84762ms,27.16078ms,22.624184611s,22.655193011s
0111100111_00_1,y,0,3.794236ms,29.299737ms,22.020033888s,22.053127861s
0110111_01000_1,y,0,3.79673ms,29.205666ms,19.628662589s,19.661664985s
0110111_00000_1,y,0,3.639681ms,33.454054ms,24.659883336s,24.696977071s
00110000_000_11,y,0,3.61584ms,29.825526ms,26.029109161s,26.062550527s
0101000100_00_1,y,0,3.840924ms,24.133817ms,20.573589899s,20.60156464s
01010000_000_11,y,0,3.827039ms,28.499157ms,24.501085188s,24.533411384s
010111111_000_1,y,0,3.828982ms,33.233142ms,24.351102885s,24.388165009s
100000_01111_00,y,0,3.876514ms,33.906639ms,26.9753577s,27.013140853s
01000000_000_11,y,0,3.845422ms,34.686065ms,26.162330555s,26.200862042s
0000100_01111_1,y,0,3.87047ms,33.39321ms,23.24296515s,23.28022883s
1000100_0111_00,y,0,3.845708ms,27.346166ms,21.099454574s,21.130646448s
011101111_11_00,y,0,3.661552ms,31.018888ms,25.479580681s,25.514261121s
001111_000000_1,y,0,3.818847ms,36.211957ms,23.782467022s,23.822497826s
011000100_11_00,y,0,3.860368ms,27.685971ms,21.479034957s,21.510581296s
01000000_0000_1,y,0,3.796139ms,32.750266ms,22.58777375s,22.624320155s
10111_0111_0000,y,0,3.697793ms,31.121159ms,21.646217154s,21.681036106s
01111_0100_1000,y,0,3.790192ms,26.561321ms,20.679124243s,20.709475756s
011101011_000_1,y,0,3.753797ms,26.1947ms,19.999356905s,20.029305402s
