triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
00101000_0111011_1,y,0,16.678849ms,124.065259ms,90.918577959s,91.059322067s
01011011111_011_00,y,0,17.422249ms,122.122908ms,92.059810941s,92.199356098s
0110101111_1011_00,y,0,16.660751ms,117.082735ms,92.571295127s,92.705038613s
1000100_0101000_00,y,0,16.988713ms,112.346692ms,94.505726629s,94.635062034s
001001010000_000_1,y,0,17.636237ms,132.985144ms,94.613248802s,94.763870183s
01001000100_0111_1,y,0,16.638554ms,118.844875ms,95.716270227s,95.851753656s
0100100_011000_111,y,0,17.493103ms,122.216294ms,96.542661244s,96.682370641s
000101000_01111_11,y,0,18.241361ms,136.545424ms,96.842210988s,96.996997773s
0100000100_011_000,y,0,18.266724ms,124.611654ms,97.142976982s,97.28585536s
01100000_010100_11,y,0,17.592976ms,122.210752ms,97.399069675s,97.538873403s
011011_011000_0000,y,0,18.33154ms,126.266143ms,97.456945372s,97.601543055s
001111_010111_0000,y,0,18.730586ms,129.020327ms,99.131612668s,99.279363581s
1010100000_0111_00,y,0,17.553146ms,122.593849ms,99.857669651s,99.997816646s
10100000_011011_00,y,0,17.53426ms,123.110134ms,100.000574683s,100.141219077s
01000001000_111_00,y,0,18.353877ms,151.2918ms,100.302567758s,100.472213435s
000000_00111_01011,y,0,18.522599ms,128.949215ms,100.403917112s,100.551388926s
100111_011000_0100,y,0,17.58871ms,115.213264ms,101.011551149s,101.144353123s
010111_100111_0000,y,0,18.305909ms,126.984416ms,101.770441128s,101.915731453s
010110011111_000_1,y,0,18.330002ms,130.036829ms,102.360578213s,102.508945044s
001000_01000_10000,y,0,18.333495ms,128.701606ms,102.957638624s,103.104673725s
0110111100111_00_1,y,0,18.115652ms,130.856076ms,103.454542131s,103.603513859s
0011100111_011_000,y,0,18.726602ms,121.097368ms,104.911917148s,105.051741118s
001111_00100_10000,y,0,18.319265ms,127.405671ms,108.19192122s,108.337646156s
01100000_100111_00,y,0,18.7944ms,129.486462ms,110.315261466s,110.463542328s
0110101011_00100_1,y,0,6.645571ms,66.682765ms,86.317875923s,86.391204259s
010100000_00100_11,y,0,6.660787ms,88.914464ms,95.896130691s,95.991705942s
00101010000_000_11,y,0,6.590809ms,86.138762ms,95.059573688s,95.152303259s
