triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
00000000_0111_1,y,0,831.089µs,321.97µs,932.454µs,2.085513ms
000000_01111_11,y,0,842.364µs,326.92µs,1.046911ms,2.216195ms
0100000000_00_1,y,0,831.218µs,360.204µs,1.221471ms,2.412893ms
01000000_111_00,y,0,837.159µs,368.984µs,1.223905ms,2.430048ms
010000000_11_00,y,0,844.306µs,390.009µs,1.191292ms,2.425607ms
0100000_1111_00,y,0,807.08µs,375.67µs,1.277679ms,2.460429ms
010000000_000_1,y,0,851.952µs,391.993µs,1.398273ms,2.642218ms
001000000_000_1,y,0,835.481µs,430.738µs,1.489692ms,2.755911ms
010000_10111_00,y,0,856.967µs,337.977µs,1.755039ms,2.949983ms
010000_1011_000,y,0,890.406µs,434.26µs,1.955577ms,3.280243ms
001000_1011_000,y,0,892.559µs,370.705µs,2.01476ms,3.278024ms
0000000_01111_1,y,0,631.941µs,406.205µs,930.797µs,1.968943ms
01010000_000_11,y,0,869.057µs,473.81µs,2.748725ms,4.091592ms
0110000_01111_1,y,0,900.395µs,501.233µs,2.747518ms,4.149146ms
010111011_11_00,y,0,928.193µs,459.775µs,2.871472ms,4.25944ms
0100000_011_000,y,0,880.01µs,523.573µs,2.880499ms,4.284082ms
10111_0111_0100,y,0,951.118µs,511.769µs,3.025033ms,4.48792ms
10000_0111_0100,y,0,897.947µs,400.838µs,3.233509ms,4.532294ms
1001000_0111_00,y,0,902.674µs,551.591µs,3.139977ms,4.594242ms
0110000_0111_00,y,0,903.265µs,558.401µs,3.16325ms,4.624916ms
0100001000_00_1,y,0,677.879µs,334.752µs,1.530996ms,2.543627ms
00010000_0111_1,y,0,681.297µs,295.107µs,1.168857ms,2.145261ms
0110010000_00_1,y,0,922.693µs,692.113µs,3.262945ms,4.877751ms
00000_0111_1011,y,0,676.471µs,417.388µs,1.688549ms,2.782408ms
001000_010000_1,y,0,683.826µs,456.906µs,2.306783ms,3.447515ms
0101000_00100_1,y,0,957.584µs,706.523µs,4.387203ms,6.05131ms
00111_01011_000,y,0,942.772µs,521.504µs,4.625953ms,6.090229ms
01111_0100_1000,y,0,885.658µs,580.339µs,4.61661ms,6.082607ms
00100_0111_1011,y,0,724.805µs,357.921µs,1.854396ms,2.937122ms
0111111_111_000,y,0,659.931µs,465.487µs,1.153027ms,2.278445ms
010010000_000_1,y,0,720.984µs,417.547µs,1.95095ms,3.089481ms
011010000_11_00,y,0,711.326µs,553.515µs,2.797016ms,4.061857ms
010000100_11_00,y,0,750.722µs,375.481µs,1.485008ms,2.611211ms
011000_0111_000,y,0,768.861µs,501.071µs,2.877161ms,4.147093ms
100000_0111_000,y,0,655.174µs,490.509µs,1.685714ms,2.831397ms
0101000_01111_1,y,0,718.802µs,634.601µs,2.873992ms,4.227395ms
01000000_0111_1,y,0,653.338µs,381.554µs,1.591664ms,2.626556ms
00100_01000_011,y,0,800.004µs,505.082µs,3.838369ms,5.143455ms
010111_0100_011,y,0,944.865µs,777.773µs,5.949866ms,7.672504ms
011000_0100_111,y,0,691.413µs,563.554µs,2.755205ms,4.010172ms
00100000_000_11,y,0,649.268µs,467.17µs,1.377201ms,2.493639ms
010111_1011_000,y,0,826.338µs,562.275µs,2.447689ms,3.836302ms
011000_010000_1,y,0,687.163µs,567.981µs,2.710986ms,3.96613ms
0011111_011_000,y,0,704.516µs,439.743µs,2.128653ms,3.272912ms
0110000_1011_00,y,0,709.169µs,462.408µs,2.488602ms,3.660179ms
0111001000_00_1,y,0,696.57µs,542.637µs,3.123504ms,4.362711ms
010000_11011_00,y,0,670.592µs,371.422µs,1.460013ms,2.502027ms
001001000_000_1,y,0,706.202µs,412.569µs,2.039236ms,3.158007ms
010000100_000_1,y,0,682.882µs,476.277µs,1.702428ms,2.861587ms
010000_10000_00,y,0,652.159µs,450.402µs,2.30834ms,3.410901ms
01111_1011_0000,y,0,697.81µs,412.519µs,1.627736ms,2.738065ms
0100000_0111_00,y,0,672.871µs,525.369µs,2.14863ms,3.34687ms
1000000_0111_00,y,0,656.802µs,400.612µs,1.561154ms,2.618568ms
0010000_111_000,y,0,642.274µs,370.025µs,1.366631ms,2.37893ms
01111_1011_0100,y,0,744.709µs,574.521µs,2.4742ms,3.79343ms
