triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
0100100_00_1,y,0,5.301721ms,10.28828ms,5.371615464s,5.387205465s
0110111_00_1,y,0,4.930276ms,11.735764ms,5.698712417s,5.715378457s
0111011_00_1,y,0,5.260628ms,11.966465ms,5.839122362s,5.856349455s
010111_000_1,y,0,3.668614ms,10.845597ms,5.998657922s,6.013172133s
01111_0100_1,y,0,7.730863ms,10.274002ms,6.045635243s,6.063640108s
00100_0111_1,y,0,9.895503ms,9.859214ms,6.044931607s,6.064686324s
001000_000_1,y,0,5.382971ms,12.443045ms,6.171514028s,6.189340044s
01000_111_00,y,0,8.648106ms,11.585377ms,6.292193833s,6.312427316s
01111_0000_1,y,0,10.288724ms,11.653631ms,6.395636906s,6.417579261s
011111_11_00,y,0,7.490811ms,12.305866ms,6.464903396s,6.484700073s
011111_000_1,y,0,3.327878ms,12.235114ms,6.513335977s,6.528898969s
00000_0111_1,y,0,3.53973ms,13.680232ms,6.544171981s,6.561391943s
01111_000_11,y,0,10.221763ms,11.039924ms,6.562232558s,6.583494245s
0111111_00_1,y,0,8.475495ms,12.753938ms,6.564325047s,6.58555448s
001111_000_1,y,0,10.177222ms,10.17782ms,6.575147715s,6.595502757s
0101000_00_1,y,0,5.483807249s,9.515232ms,3.817312287s,9.310634768s
011011_000_1,y,0,5.95195534s,9.850321ms,3.875448878s,9.837254539s
010000_000_1,y,0,6.743837454s,8.583386ms,3.358213791s,10.110634631s
01000_0111_1,y,0,6.735633275s,11.883567ms,3.705101574s,10.452618416s
0101111_00_1,y,0,6.742114814s,7.975233ms,3.72783701s,10.477927057s
0111_1011_00,y,0,6.734335022s,13.030667ms,3.747608632s,10.494974321s
010000_11_00,y,0,6.740686272s,9.420959ms,3.974384039s,10.72449127s
0100000_00_1,y,0,6.743663151s,9.370021ms,4.032676209s,10.785709381s
01000_011_00,y,0,10.608197524s,7.186917ms,3.028331261s,13.643715702s
