triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
010010100_00_1,y,0,4.448703ms,15.167962ms,31.295360774s,31.314977439s
010111_01000_1,y,0,4.620196ms,16.915872ms,32.793656693s,32.815192761s
0111_1011_0100,y,0,4.729078ms,16.228953ms,32.964292055s,32.985250086s
0100000_011_00,y,0,4.789219ms,18.612482ms,33.980230528s,34.003632229s
010000_0111_00,y,0,4.879658ms,19.069046ms,33.972551832s,33.996500536s
010000_1011_00,y,0,4.790557ms,19.43505ms,34.048745587s,34.072971194s
00100_01000_11,y,0,4.703688ms,19.153977ms,34.055467969s,34.079325634s
010010000_00_1,y,0,4.474672ms,19.423008ms,34.090155172s,34.114052852s
0111_0100_1000,y,0,4.523475ms,17.543143ms,34.225299631s,34.247366249s
10111_0111_000,y,0,4.689341ms,21.053104ms,34.769803055s,34.7955455s
000100_01111_1,y,0,4.51296ms,21.903861ms,34.855217531s,34.881634352s
0111_1011_0000,y,0,4.742402ms,21.243948ms,34.899384685s,34.925371035s
011111_0100_11,y,0,4.450853ms,20.345585ms,34.932476073s,34.957272511s
101111_0111_00,y,0,4.576179ms,20.590043ms,34.937141644s,34.962307866s
0111011_000_11,y,0,4.520652ms,21.045442ms,35.002968501s,35.028534595s
01110111_11_00,y,0,4.582135ms,20.475654ms,35.00969004s,35.034747829s
00111011_000_1,y,0,4.749427ms,19.872602ms,35.106028925s,35.130650954s
01000000_11_00,y,0,4.774463ms,23.692312ms,35.395549397s,35.424016172s
010000_111_000,y,0,4.743015ms,23.040259ms,35.469595492s,35.497378766s
0010000_000_11,y,0,4.747918ms,23.026918ms,35.53277001s,35.560544846s
0100000_000_11,y,0,4.154705ms,23.172582ms,35.569752934s,35.597080221s
0000000_0111_1,y,0,4.566126ms,25.376822ms,35.732234906s,35.762177854s
01110000_000_1,y,0,4.76481ms,21.110851ms,35.852511603s,35.878387264s
00110000_000_1,y,0,4.762802ms,19.711449ms,35.81279566s,35.837269911s
01011111_11_00,y,0,2.878432ms,19.376017ms,16.0682832s,16.090537649s
0101000_011_00,y,0,2.976599ms,14.014809ms,13.661398699s,13.678390107s
00111_0111_000,y,0,3.12447ms,19.517557ms,15.819593063s,15.84223509s
01111011_000_1,y,0,3.102232ms,23.024439ms,16.099863987s,16.125990658s
01001111_000_1,y,0,3.049139ms,19.797858ms,17.829881969s,17.852728966s
0100000_0000_1,y,0,3.035455ms,20.99189ms,16.969138934s,16.993166279s
010000_00100_1,y,0,3.060776ms,18.115533ms,17.340782722s,17.361959031s
010000000_00_1,y,0,2.941668ms,22.334353ms,18.827537076s,18.852813097s
01111_11011_00,y,0,3.009169ms,20.081008ms,18.123958742s,18.147048919s
010100100_00_1,y,0,3.072768ms,13.876234ms,17.907807099s,17.924756101s
01011011_000_1,y,0,3.068591ms,16.975999ms,18.96545064s,18.98549523s
010000_011_000,y,0,3.319089ms,19.81658ms,18.597099018s,18.620234687s
0101000_0111_1,y,0,3.113935ms,16.933249ms,19.031336938s,19.051384122s
010100_01111_1,y,0,2.888801ms,16.000097ms,19.005820278s,19.024709176s
001000_011_000,y,0,3.334951ms,17.341759ms,18.415010304s,18.435687014s
010000_01111_1,y,0,3.095412ms,23.089408ms,18.740376761s,18.766561581s
001000_01000_1,y,0,2.990981ms,19.007237ms,19.98421074s,20.006208958s
01000000_000_1,y,0,2.960139ms,23.476411ms,19.535211845s,19.561648395s
01111_00100_11,y,0,2.877401ms,20.418168ms,20.5549464s,20.578241969s
00111_0000_011,y,0,3.240262ms,18.64175ms,20.801360764s,20.823242776s
00100000_000_1,y,0,2.967362ms,20.940659ms,21.042262369s,21.06617039s
01010000_000_1,y,0,3.07634ms,18.920092ms,20.549249675s,20.571246107s
01010000_11_00,y,0,3.084144ms,18.497922ms,20.269815874s,20.29139794s
000000_01111_1,y,0,2.915753ms,26.227541ms,21.407208285s,21.436351579s
01111_1011_000,y,0,2.748143ms,19.604729ms,11.250473933s,11.272826805s
011111_1011_00,y,0,2.944404ms,19.114915ms,12.229843223s,12.251902542s
011011_00100_1,y,0,2.746543ms,16.49154ms,10.727062711s,10.746300794s
010111_00100_1,y,0,2.889211ms,16.381378ms,12.345972692s,12.365243281s
011011_01000_1,y,0,2.812655ms,16.507339ms,12.380278357s,12.399598351s
011011_00000_1,y,0,2.835405ms,22.53204ms,14.634658952s,14.660026397s
0100000_111_00,y,0,2.814324ms,22.718833ms,15.962261992s,15.987795149s
0101111_0000_1,y,0,2.921859ms,20.985899ms,15.677227217s,15.701134975s
11011_01000_00,y,0,2.962734ms,18.222235ms,13.615913958s,13.637098927s
01101111_11_00,y,0,2.940208ms,20.703199ms,16.036766306s,16.060409713s
0100100_0111_1,y,0,2.850821ms,17.017206ms,16.268123846s,16.287991873s
010100000_00_1,y,0,2.942343ms,18.766288ms,17.610361975s,17.632070606s
00100100_000_1,y,0,2.874851ms,18.514586ms,18.051170127s,18.072559564s
01111_10000_00,y,0,3.010838ms,21.122939ms,19.315956892s,19.340090669s
011100111_00_1,y,0,2.909458ms,17.648096ms,17.884635883s,17.905193437s
01100000_11_00,y,0,3.113129ms,22.16022ms,18.496779045s,18.522052394s
01111_01000_00,y,0,3.127847ms,17.767004ms,12.693449473s,12.714344324s
01010111_000_1,y,0,2.981505ms,16.476101ms,12.148752478s,12.168210084s
100000_0111_00,y,0,2.951811ms,20.554607ms,18.044489551s,18.067995969s
010000_1111_00,y,0,3.026501ms,24.219418ms,14.01204875s,14.039294669s
010000100_00_1,y,0,2.92654ms,18.385426ms,18.453640955s,18.474952921s
0110000_111_00,y,0,3.050874ms,21.193908ms,19.266184533s,19.290429315s
01101011_000_1,y,0,3.002836ms,16.079796ms,17.965953813s,17.985036445s
011101011_00_1,y,0,2.833179ms,16.189694ms,11.314256161s,11.333279034s
0000100_0111_1,y,0,3.056101ms,22.931139ms,19.104276791s,19.130264031s
01011_01000_00,y,0,3.174014ms,14.292393ms,10.756467447s,10.773933854s
01111_10111_00,y,0,2.835733ms,18.987822ms,19.68769141s,19.709514965s
101011_0111_00,y,0,2.960759ms,17.163914ms,18.691546045s,18.711670718s
011111011_00_1,y,0,2.982273ms,20.054583ms,13.365308662s,13.388345518s
00111111_000_1,y,0,2.960638ms,23.087547ms,20.925254724s,20.951302909s
010110111_00_1,y,0,2.985147ms,16.726657ms,11.302849467s,11.322561271s
011001111_00_1,y,0,2.849854ms,17.70869ms,12.319068065s,12.339626609s
0010000_0111_1,y,0,2.896949ms,22.04555ms,11.7543224s,11.779264899s
01100111_000_1,y,0,2.913014ms,17.575957ms,13.020959555s,13.041448526s
011010111_00_1,y,0,2.897799ms,16.172794ms,11.879853061s,11.898923654s
011011000_00_1,y,0,2.887888ms,16.855683ms,11.835739718s,11.855483289s
010111_011_000,y,0,3.091245ms,15.803595ms,12.318865548s,12.337760388s
011011011_00_1,y,0,3.162299ms,18.132525ms,12.122770956s,12.14406578s
0110111_0100_1,y,0,3.010302ms,16.420061ms,13.235708311s,13.255138674s
010111_1011_00,y,0,2.923856ms,16.656753ms,12.728147691s,12.7477283s
010111_00000_1,y,0,2.872606ms,20.368392ms,14.847460527s,14.870701525s
0010000_0000_1,y,0,2.95552ms,21.614056ms,13.706848495s,13.731418071s
0100111_0111_1,y,0,2.941738ms,17.081178ms,14.475869571s,14.495892487s
0001000_0111_1,y,0,3.063294ms,20.776339ms,15.366554306s,15.390393939s
0101000_0100_1,y,0,3.042923ms,14.463817ms,14.012301059s,14.029807799s
0100000_0111_1,y,0,3.045645ms,20.663241ms,12.58939758s,12.613106466s
11111_01000_00,y,0,2.97121ms,21.974771ms,13.431864965s,13.456810946s
00101111_000_1,y,0,3.056587ms,18.745845ms,13.035255053s,13.057057485s
0100100_111_00,y,0,3.045752ms,19.542351ms,14.790091414s,14.812679517s
0011000_0111_1,y,0,2.889075ms,17.534946ms,16.407659641s,16.428083662s
01111111_000_1,y,0,3.026279ms,25.386575ms,16.642350605s,16.670763459s
011000_01111_1,y,0,3.051915ms,17.159457ms,15.103286607s,15.123497979s
0111011_0100_1,y,0,3.11592ms,16.683248ms,15.362444425s,15.382243593s
011111_00100_1,y,0,2.824914ms,20.658475ms,11.416350355s,11.439833744s
