triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
0111_0100_1,y,0,5.642946ms,4.570342ms,1.513517586s,1.523730874s
011011_00_1,y,0,5.772802ms,5.031827ms,1.531902991s,1.54270762s
010111_00_1,y,0,5.702246ms,5.248584ms,1.58189239s,1.59284322s
01000_11_00,y,0,5.669514ms,6.078788ms,1.686405778s,1.69815408s
011111_00_1,y,0,2.688352ms,6.81672ms,1.740886359s,1.750391431s
01111_000_1,y,0,2.735087ms,6.999219ms,1.741547615s,1.751281921s
0111_0000_1,y,0,6.869935ms,6.624339ms,1.748203467s,1.761697741s
01111_11_00,y,0,5.697898ms,6.478058ms,1.791806347s,1.803982303s
010000_00_1,y,0,1.85340687s,5.407228ms,1.540128135s,3.398942233s
