triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
01001111_0010111_0110000,n,23,2.367454ms,2.652649ms,7.051621ms,12.071724ms
01001111_01100000_101000,n,23,2.273034ms,2.271896ms,6.401319ms,10.946249ms
010011111_1010000_011000,n,23,2.251937ms,2.358995ms,6.440673ms,11.051605ms
010011111_0110000_101000,n,23,2.234053ms,2.350975ms,6.375385ms,10.960413ms
00101111_0100111_0110000,n,23,2.388707ms,2.265762ms,7.083463ms,11.737932ms
001001111_00110000_01000,n,23,2.307023ms,2.464758ms,7.132731ms,11.904512ms
001001111_0011000_010000,n,23,2.343175ms,2.404043ms,7.123979ms,11.871197ms
01001111_0110000_1010000,n,23,2.246852ms,2.630435ms,6.546642ms,11.423929ms
