triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
00001000_011111_1,y,0,875.848µs,476.006µs,1.457619ms,2.809473ms
00100000_01111_11,y,0,904.569µs,490.307µs,1.649944ms,3.04482ms
0010000_1111_0000,y,0,885.581µs,544.203µs,1.775972ms,3.205756ms
00000000_010111_1,y,0,891.156µs,669.877µs,1.826155ms,3.387188ms
01000000100_000_1,y,0,915.321µs,603.083µs,1.899169ms,3.417573ms
011000000_111_000,y,0,878.69µs,551.592µs,2.030849ms,3.461131ms
0001000100_0000_1,y,0,911.424µs,530.024µs,2.252832ms,3.69428ms
0100000_1011_0000,y,0,928.683µs,511.381µs,2.153389ms,3.593453ms
010000100_01111_1,y,0,941.802µs,526.017µs,2.278442ms,3.746261ms
0100010000_000_11,y,0,902.936µs,574.219µs,2.242284ms,3.719439ms
01100000100_11_00,y,0,936.137µs,576.273µs,2.222619ms,3.735029ms
011111_001111_000,y,0,917µs,492.525µs,2.65918ms,4.068705ms
0110111_0100000_1,y,0,941.676µs,744.238µs,2.71697ms,4.402884ms
0110000_0010000_1,y,0,967.046µs,617.244µs,2.967928ms,4.552218ms
0101111_0100000_1,y,0,952.271µs,696.661µs,3.335755ms,4.984687ms
0011011011_0000_1,y,0,977.73µs,603.458µs,3.454901ms,5.036089ms
0111101011_111_00,y,0,959.664µs,669.396µs,3.460013ms,5.089073ms
0101111_010000_11,y,0,952.21µs,653.038µs,3.558575ms,5.163823ms
001010000_011_000,y,0,1.010727ms,632.951µs,3.9614ms,5.605078ms
010111011000_00_1,y,0,1.028317ms,750.776µs,3.916122ms,5.695215ms
00101001000_000_1,y,0,1.02752ms,676.852µs,4.047067ms,5.751439ms
010111111_111_000,y,0,858.871µs,550.518µs,2.149832ms,3.559221ms
010000000_00100_1,y,0,913.371µs,574.058µs,2.320012ms,3.807441ms
00100000_010000_1,y,0,905.813µs,539.067µs,2.560576ms,4.005456ms
