triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
010111_011_00,y,0,3.442288ms,11.982034ms,16.855190703s,16.870615025s
010100_0111_1,y,0,3.114797ms,11.640864ms,18.103773322s,18.118528983s
01010000_00_1,y,0,3.538269ms,14.546944ms,18.380845284s,18.398930497s
011011_0000_1,y,0,3.300912ms,15.325671ms,19.111655802s,19.130282385s
01111_01000_1,y,0,3.25123ms,15.124774ms,19.146381395s,19.164757399s
000100_0111_1,y,0,3.126332ms,15.717856ms,19.234157486s,19.253001674s
011111_0100_1,y,0,3.107542ms,15.472826ms,19.251100253s,19.269680621s
010000_011_00,y,0,3.56756ms,13.775701ms,19.306477329s,19.32382059s
01000100_00_1,y,0,3.519333ms,14.798331ms,19.318781118s,19.337098782s
01100111_00_1,y,0,3.407841ms,13.773263ms,19.358662975s,19.375844079s
01000_0111_00,y,0,3.704389ms,14.443729ms,19.381828196s,19.399976314s
0100000_11_00,y,0,3.396097ms,17.26282ms,19.87011483s,19.890773747s
010000_111_00,y,0,3.56015ms,17.522117ms,19.88909033s,19.910172597s
01000_1111_00,y,0,3.350184ms,16.537496ms,19.934807446s,19.954695126s
01000000_00_1,y,0,3.559599ms,17.420115ms,19.996416419s,20.017396133s
0100000_000_1,y,0,3.455254ms,16.479201ms,19.99872539s,20.018659845s
0110000_11_00,y,0,3.322174ms,15.172508ms,20.008278522s,20.026773204s
01111_00000_1,y,0,3.416117ms,18.344069ms,20.222261508s,20.244021694s
000000_0111_1,y,0,3.562044ms,18.922203ms,20.272584175s,20.295068422s
0010000_000_1,y,0,3.218962ms,16.123551ms,20.321377203s,20.340719716s
011111_000_11,y,0,3.292386ms,18.034498ms,20.318074314s,20.339401198s
10000_0111_00,y,0,3.192437ms,15.554537ms,20.348770933s,20.367517907s
0011111_000_1,y,0,3.523784ms,16.867593ms,20.365683824s,20.386075201s
011111_111_00,y,0,3.076855ms,16.652601ms,20.370738045s,20.390467501s
01011011_00_1,y,0,2.046081ms,10.274301ms,6.197706457s,6.210026839s
01010111_00_1,y,0,2.066206ms,10.335116ms,6.391302066s,6.403703388s
01000_1011_00,y,0,2.138409ms,12.591708ms,6.932415819s,6.947145936s
0101111_000_1,y,0,2.103097ms,13.464117ms,7.224458799s,7.240026013s
010000_0111_1,y,0,2.018628ms,13.405607ms,7.212981688s,7.228405923s
01111011_00_1,y,0,2.022487ms,13.354724ms,7.355650873s,7.371028084s
01111_0100_11,y,0,2.024667ms,12.618539ms,8.643784095s,8.658427301s
0100100_11_00,y,0,2.176741ms,13.191783ms,7.092228444s,7.107596968s
00100_01000_1,y,0,2.080936ms,11.481517ms,7.086272237s,7.09983469s
0111011_000_1,y,0,2.092681ms,13.750551ms,7.29185042s,7.307693652s
01011111_00_1,y,0,2.0139ms,13.106897ms,7.296259886s,7.311380683s
01111111_00_1,y,0,2.011316ms,16.273324ms,7.783372022s,7.801656662s
0101111_11_00,y,0,2.061499ms,13.365296ms,8.177569487s,8.192996282s
0111111_000_1,y,0,2.061512ms,18.203204ms,7.74300338s,7.763268096s
01111_1011_00,y,0,2.896883ms,21.113018ms,11.208312553s,11.232322454s
0101000_11_00,y,0,2.244907ms,20.434189ms,9.892621575s,9.915300671s
01101011_00_1,y,0,2.141059ms,11.927279ms,8.418537026s,8.432605364s
001000_0111_1,y,0,2.345603ms,16.430938ms,9.674592642s,9.693369183s
01101111_00_1,y,0,2.569072ms,18.185713ms,9.854615579s,9.875370364s
011011_0100_1,y,0,2.053782ms,10.203433ms,8.762090459s,8.774347674s
010111_0000_1,y,0,2.150444ms,13.318443ms,8.943587672s,8.959056559s
01111_00100_1,y,0,2.167409ms,13.552142ms,9.10051257s,9.116232121s
01110111_00_1,y,0,2.097267ms,13.600721ms,9.088022381s,9.103720369s
001111_0000_1,y,0,2.098258ms,14.667338ms,9.665030036s,9.681795632s
010111_0100_1,y,0,2.080377ms,10.254362ms,5.602344944s,5.614679683s
0110111_000_1,y,0,2.115896ms,13.479025ms,6.147108993s,6.162703914s
10111_0111_00,y,0,2.070666ms,12.634046ms,6.209282911s,6.223987623s
01001000_00_1,y,0,2.130946ms,11.743755ms,5.987250917s,6.001125618s
0111011_11_00,y,0,2.124569ms,13.12835ms,6.21095412s,6.226207039s
011111_0000_1,y,0,2.094989ms,16.942034ms,6.759985154s,6.779022177s
001000_000_11,y,0,2.174917ms,14.04605ms,6.431222793s,6.44744376s
011000_0111_1,y,0,2.151756ms,11.457007ms,6.683151084s,6.696759847s
00111_011_000,y,0,8.953763317s,12.156398ms,6.582178229s,15.548097944s
01111_0000_11,y,0,29.517937284s,15.750957ms,6.981139853s,36.514828094s
0111111_11_00,y,0,36.324861814s,15.876934ms,7.139867453s,43.480606201s
0110111_11_00,y,0,43.650701962s,12.62879ms,6.47869505s,50.142025802s
010000_000_11,y,0,43.651010751s,14.436194ms,6.581495136s,50.246942081s
0111_1011_000,y,0,50.309396677s,12.837336ms,6.438023999s,56.760258012s
