triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
0101000_011011_1,y,0,5.022417ms,34.268257ms,92.228310787s,92.267601461s
010101000_111_00,y,0,5.17185ms,37.796529ms,93.617030596s,93.659998975s
0100111_01000_00,y,0,5.581366ms,32.496479ms,95.497749102s,95.535826947s
0100000_01011_00,y,0,5.739662ms,36.891723ms,95.549738507s,95.592369892s
010000100_011_00,y,0,5.627051ms,37.970122ms,96.577086942s,96.620684115s
01101011_00000_1,y,0,5.373681ms,42.626584ms,97.314895213s,97.362895478s
0001000_011011_1,y,0,4.785262ms,43.35885ms,97.334163101s,97.382307213s
0111101011_11_00,y,0,6.154829ms,41.558576ms,97.649414683s,97.697128088s
01011111_0111_00,y,0,5.498864ms,39.503355ms,98.005104393s,98.050106612s
0100000_10111_00,y,0,5.502521ms,48.508444ms,99.728429498s,99.782440463s
010000100_000_11,y,0,5.741363ms,44.303ms,100.471392368s,100.521436731s
011001000_111_00,y,0,5.285667ms,44.04198ms,100.59348807s,100.642815717s
010000_0111_1000,y,0,5.201864ms,43.841192ms,100.597848643s,100.646891699s
0100000_1011_000,y,0,5.162816ms,45.922789ms,100.624436315s,100.67552192s
011000_010000_00,y,0,5.802487ms,37.625919ms,100.921124441s,100.964552847s
0100001000_11_00,y,0,5.310644ms,47.626518ms,101.077097294s,101.130034456s
000100000_0111_1,y,0,5.421714ms,54.255743ms,101.495500823s,101.55517828s
00000100_01111_1,y,0,5.281143ms,51.287719ms,102.183755935s,102.240324797s
0101111111_11_00,y,0,5.377446ms,49.520073ms,102.668722184s,102.723619703s
00011000_01111_1,y,0,5.386545ms,45.624473ms,102.852339987s,102.903351005s
00010000_0000_11,y,0,5.45185ms,53.058704ms,103.671407522s,103.729918076s
01000000000_00_1,y,0,4.626519ms,54.585854ms,103.957280073s,104.016492446s
010000000_0000_1,y,0,5.458667ms,51.795691ms,104.248675046s,104.305929404s
0000000_01111_11,y,0,5.46202ms,54.92612ms,104.657908479s,104.718296619s
01101001000_00_1,y,0,4.062938ms,34.792945ms,39.079715607s,39.11857149s
0100000_010111_1,y,0,4.143351ms,39.457461ms,39.024767156s,39.068367968s
010111_101011_00,y,0,4.066704ms,31.347369ms,36.285039432s,36.320453505s
01011111_00100_1,y,0,4.045135ms,41.490869ms,39.360339043s,39.405875047s
01000100000_00_1,y,0,4.114292ms,48.378044ms,42.202027635s,42.254519971s
01000000_011_000,y,0,4.380621ms,42.765282ms,42.363661853s,42.410807756s
010100000_000_11,y,0,4.215039ms,45.940796ms,44.859461727s,44.909617562s
000100_00111_011,y,0,4.395566ms,38.222621ms,43.976176335s,44.018794522s
0101000000_11_00,y,0,4.131553ms,45.524763ms,42.461389499s,42.511045815s
01100111_00000_1,y,0,4.082376ms,44.765856ms,46.154494971s,46.203343203s
0110010000_11_00,y,0,4.187924ms,43.690269ms,43.992882184s,44.040760377s
010111111_111_00,y,0,4.155225ms,46.967923ms,49.072347042s,49.12347019s
0010000_0111_000,y,0,4.579008ms,48.998443ms,43.680399512s,43.733976963s
10010000_0111_00,y,0,4.096466ms,43.918914ms,43.51731268s,43.56532806s
101111_010111_00,y,0,4.261623ms,46.998385ms,42.184466682s,42.23572669s
0001000_01111_11,y,0,4.398227ms,56.229392ms,45.478022137s,45.538649756s
0000000_010111_1,y,0,4.239632ms,56.748387ms,45.54078806s,45.601776079s
0110000_11111_00,y,0,4.10812ms,50.472455ms,46.008297278s,46.062877853s
010011111_000_11,y,0,4.153646ms,48.467915ms,46.755273364s,46.807894925s
011000_1111_0100,y,0,4.167802ms,43.971908ms,48.688125711s,48.736265421s
0111011011_11_00,y,0,4.00859ms,40.210965ms,46.904025084s,46.948244639s
0100000_0000_011,y,0,4.509539ms,44.862922ms,46.63215908s,46.681531541s
10000000_0111_00,y,0,4.062065ms,48.665053ms,52.369544753s,52.422271871s
0100000_0000_111,y,0,4.403192ms,56.391122ms,53.230369942s,53.291164256s
00110111_01000_1,y,0,4.391492ms,40.586215ms,39.2632555s,39.308233207s
010111_100111_00,y,0,4.546264ms,38.02098ms,41.905330087s,41.947897331s
010111_00111_011,y,0,4.458157ms,33.75756ms,37.567812933s,37.60602865s
101111_0111_0000,y,0,4.57116ms,54.610198ms,42.853670618s,42.912851976s
101000_0111_0100,y,0,4.32331ms,34.416509ms,39.479761833s,39.518501652s
01000100_1011_00,y,0,4.250216ms,37.523267ms,37.1212129s,37.162986383s
001111011_0000_1,y,0,4.254236ms,45.993354ms,43.834698807s,43.884946397s
101111_010000_00,y,0,4.343853ms,48.091695ms,41.354679768s,41.407115316s
00111_01000_0111,y,0,4.469923ms,37.098845ms,39.603065767s,39.644634535s
101011_01111_000,y,0,4.344711ms,42.902808ms,38.43935497s,38.486602489s
01101111_00000_1,y,0,4.260498ms,55.315507ms,41.683616955s,41.74319296s
1001111_0111_000,y,0,4.61799ms,47.877839ms,46.402963216s,46.455459045s
0100010100_11_00,y,0,4.561868ms,39.713203ms,38.327806897s,38.372081968s
01000000_00000_1,y,0,4.458965ms,50.969018ms,44.781098129s,44.836526112s
010000000_111_00,y,0,4.296901ms,55.406616ms,42.587083828s,42.646787345s
01000000_111_000,y,0,4.226877ms,53.746352ms,42.962055236s,43.020028465s
0001111_0000_011,y,0,4.581333ms,43.55618ms,44.185022075s,44.233159588s
01110111_0000_11,y,0,4.254232ms,50.156085ms,42.642139885s,42.696550202s
00100000_0000_11,y,0,4.938476ms,59.495953ms,47.066956013s,47.131390442s
00010000_01111_1,y,0,4.252577ms,52.897108ms,44.368201835s,44.42535152s
001000100_000_11,y,0,4.271192ms,43.87947ms,45.482191759s,45.530342421s
100000_01111_000,y,0,4.515219ms,51.949853ms,48.506632075s,48.563097147s
1000000_01111_00,y,0,4.45015ms,52.500683ms,47.166008645s,47.222959478s
00000000_01111_1,y,0,4.466828ms,62.664193ms,46.519225034s,46.586356055s
01001111_011_000,y,0,4.725083ms,39.864796ms,40.072943017s,40.117532896s
0100100100_11_00,y,0,4.246291ms,39.248082ms,36.924087886s,36.967582259s
011111_101011_00,y,0,4.337631ms,40.192271ms,38.320389218s,38.36491912s
01011101011_00_1,y,0,4.324925ms,36.155271ms,35.938202963s,35.978683159s
0010000_0000_011,y,0,4.767978ms,44.811045ms,40.126237243s,40.175816266s
0101000_00100_11,y,0,4.324322ms,37.50487ms,39.001660621s,39.043489813s
0110000_10111_00,y,0,4.605045ms,44.829711ms,42.448608878s,42.498043634s
011011000_0000_1,y,0,4.401483ms,44.022642ms,42.956328445s,43.00475257s
00100000_011_000,y,0,4.716904ms,43.642794ms,40.1360297s,40.184389398s
00100_01000_1011,y,0,4.323903ms,37.586439ms,36.686707465s,36.728617807s
010000_00111_000,y,0,4.704525ms,37.187138ms,42.346765568s,42.388657231s
01011000_01000_1,y,0,4.696933ms,40.575635ms,40.141740213s,40.187012781s
010110000_0111_1,y,0,4.160703ms,33.994993ms,39.384817538s,39.422973234s
0110001000_000_1,y,0,4.449412ms,43.01279ms,42.003883267s,42.051345469s
01011000_01111_1,y,0,4.434036ms,37.046724ms,42.296458957s,42.337939717s
0100000_11011_00,y,0,4.316271ms,47.24746ms,40.167219273s,40.218783004s
001000000_0000_1,y,0,4.310895ms,50.347447ms,43.998208142s,44.052866484s
011000100_0111_1,y,0,4.468516ms,37.942983ms,41.940489543s,41.982901042s
0100000_011000_1,y,0,4.446716ms,41.059494ms,43.256154357s,43.301660567s
001000_01000_111,y,0,4.503809ms,48.8747ms,43.444038271s,43.49741678s
00111_00000_0111,y,0,4.578633ms,48.167161ms,42.999102862s,43.051848656s
011111_100000_00,y,0,4.30918ms,50.366737ms,47.883990834s,47.938666751s
0100000000_11_00,y,0,4.453296ms,58.108384ms,46.58074065s,46.64330233s
010000000_0111_1,y,0,4.499614ms,53.015683ms,42.65128234s,42.708797637s
010101111_000_11,y,0,4.558128ms,42.903665ms,38.78527726s,38.832739053s
0100100111_11_00,y,0,4.34869ms,38.29174ms,39.06960468s,39.11224511s
011111_1011_0000,y,0,4.640504ms,53.576219ms,43.941733886s,43.999950609s
0010100_011111_1,y,0,4.384762ms,43.375928ms,38.887784876s,38.935545566s
0110111_0111_000,y,0,4.587287ms,41.63287ms,38.116679868s,38.162900025s
010000_11011_000,y,0,4.665736ms,49.253139ms,42.873025115s,42.92694399s
00111011_011_000,y,0,5.051892ms,43.721499ms,40.585088777s,40.633862168s
011111_010000_00,y,0,4.796537ms,52.240446ms,42.971072689s,43.028109672s
011000_010000_11,y,0,4.488724ms,43.311012ms,40.464955133s,40.512754869s
011000100_111_00,y,0,4.630867ms,45.803609ms,42.442200633s,42.492635109s
0110000_010111_1,y,0,4.489167ms,37.831853ms,41.341907519s,41.384228539s
010000100_111_00,y,0,4.843826ms,52.752222ms,41.265345991s,41.322942039s
0010000_0000_111,y,0,4.402517ms,52.960081ms,43.991427899s,44.048790497s
010100000_011_00,y,0,4.740366ms,38.405085ms,37.507628701s,37.550774152s
0001000_001111_1,y,0,4.320586ms,46.857198ms,42.252838919s,42.304016703s
01101111_0000_11,y,0,4.846863ms,61.780131ms,44.913805639s,44.980432633s
011000_0111_0100,y,0,4.823695ms,36.763283ms,39.656160272s,39.69774725s
01001111_00000_1,y,0,4.383156ms,47.064229ms,42.623542358s,42.674989743s
0110000_0111_000,y,0,4.981409ms,45.470055ms,42.921772517s,42.972223981s
00100000_00000_1,y,0,4.660798ms,68.356811ms,51.773509967s,51.846527576s
0100100000_11_00,y,0,4.511662ms,51.508283ms,40.290553491s,40.346573436s
1101011_01000_00,y,0,4.555697ms,40.426256ms,37.662748309s,37.707730262s
01001111_01111_1,y,0,4.289036ms,40.67845ms,43.526660598s,43.571628084s
100000_0111_0100,y,0,4.626043ms,45.102473ms,42.529573143s,42.579301659s
0000000_011011_1,y,0,4.431955ms,53.699765ms,43.73337226s,43.79150398s
01101011_01000_1,y,0,4.344957ms,33.172585ms,35.058532052s,35.096049594s
011000_01111_000,y,0,4.728732ms,42.734538ms,41.087322857s,41.134786127s
00101000_01111_1,y,0,4.386902ms,42.568254ms,37.742890738s,37.789845894s
0101000_01011_00,y,0,4.634031ms,31.738485ms,34.803510839s,34.839883355s
0000100_010111_1,y,0,4.338019ms,42.785338ms,38.161617207s,38.208740564s
1100111_01111_00,y,0,4.429326ms,42.952355ms,45.153705313s,45.201086994s
0101111_0000_011,y,0,4.724084ms,41.746199ms,37.424707231s,37.471177514s
001000000_000_11,y,0,4.477909ms,54.546652ms,43.042885432s,43.101909993s
001110111_000_11,y,0,4.62071ms,48.823845ms,44.534606775s,44.58805133s
00111011_01000_1,y,0,4.532252ms,42.360547ms,40.950415057s,40.997307856s
1001000_01111_00,y,0,4.625022ms,48.496997ms,42.868741018s,42.921863037s
01000001000_00_1,y,0,4.782192ms,50.122859ms,41.810560033s,41.865465084s
01000100100_00_1,y,0,4.546295ms,44.151823ms,39.734111588s,39.782809706s
011111_10111_000,y,0,4.805146ms,56.175202ms,43.483604318s,43.544584666s
01000000_1111_00,y,0,4.526677ms,58.60007ms,44.586082075s,44.649208822s
01010011000_00_1,y,0,4.385579ms,34.70554ms,37.803573731s,37.84266485s
010000_10111_000,y,0,4.719166ms,48.708844ms,41.745992145s,41.799420155s
000100_010000_11,y,0,4.293412ms,45.878269ms,40.372170171s,40.422341852s
01000000_00100_1,y,0,4.482188ms,48.056296ms,41.903904166s,41.95644265s
0101111_0111_000,y,0,4.670395ms,39.595243ms,37.918940358s,37.963205996s
001100000_0000_1,y,0,4.674081ms,48.886339ms,48.962271525s,49.015831945s
