triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
010010100_00_1,y,0,237.954µs,1.168296ms,27.992217ms,29.398467ms
00101000_000_1,y,0,265.262µs,1.239116ms,27.815442ms,29.31982ms
010111_01000_1,y,0,394.783µs,1.223693ms,28.07224ms,29.690716ms
0100000_011_00,y,0,267.591µs,1.289054ms,28.223534ms,29.780179ms
010000_01111_1,y,0,245.061µs,1.358815ms,28.507782ms,30.111658ms
010001000_00_1,y,0,246.317µs,1.312674ms,28.831223ms,30.390214ms
010000_1011_00,y,0,387.646µs,1.203328ms,29.761257ms,31.352231ms
010010000_00_1,y,0,238.943µs,1.282907ms,29.745325ms,31.267175ms
00100100_000_1,y,0,386.03µs,1.186166ms,29.957932ms,31.530128ms
00100000_000_1,y,0,269.307µs,1.377381ms,29.997731ms,31.644419ms
00111_0000_011,y,0,247.919µs,1.254247ms,30.071299ms,31.573465ms
0111_1011_0100,y,0,400.612µs,1.20589ms,30.327979ms,31.934481ms
01111_10000_00,y,0,248.744µs,1.328534ms,30.645541ms,32.222819ms
01000000_11_00,y,0,273.133µs,1.392095ms,30.574055ms,32.239283ms
01111_1011_000,y,0,268.044µs,1.478781ms,30.382255ms,32.12908ms
00100_01000_11,y,0,375.22µs,1.291765ms,30.026023ms,31.693008ms
0111011_000_11,y,0,248.355µs,1.238834ms,30.899053ms,32.386242ms
0111_1011_0000,y,0,402.517µs,1.23339ms,30.761019ms,32.396926ms
010000_111_000,y,0,398.909µs,1.377903ms,31.103463ms,32.880275ms
011000_01000_1,y,0,255.034µs,1.140823ms,31.529751ms,32.925608ms
011001000_00_1,y,0,243.711µs,1.218942ms,31.661519ms,33.124172ms
01000000_000_1,y,0,253.03µs,1.464642ms,32.701392ms,34.419064ms
01110000_000_1,y,0,253.479µs,1.318363ms,33.240171ms,34.812013ms
00110000_000_1,y,0,261.395µs,1.207425ms,33.689153ms,35.157973ms
010100000_00_1,y,0,233.32µs,1.242909ms,24.172946ms,25.649175ms
00111_0111_000,y,0,242.42µs,1.247936ms,24.649935ms,26.140291ms
01011111_11_00,y,0,227.284µs,1.389304ms,25.469495ms,27.086083ms
010111_011_000,y,0,231.029µs,1.158591ms,22.880017ms,24.269637ms
0001000_0111_1,y,0,241.32µs,1.321609ms,23.574571ms,25.1375ms
01101011_000_1,y,0,236.439µs,1.254045ms,23.266163ms,24.756647ms
001000_111_000,y,0,231.533µs,1.272857ms,25.278515ms,26.782905ms
0101000_011_00,y,0,236.971µs,1.243735ms,24.431038ms,25.911744ms
0101000_0111_1,y,0,518.844µs,1.277527ms,23.785452ms,25.581823ms
01001111_000_1,y,0,407.471µs,1.338694ms,26.585099ms,28.331264ms
010000_1111_00,y,0,233.503µs,1.410178ms,24.144302ms,25.787983ms
01111_00000_11,y,0,430.09µs,1.373749ms,27.294051ms,29.09789ms
100000_0111_00,y,0,237.509µs,1.264416ms,25.829066ms,27.330991ms
01010000_000_1,y,0,236.446µs,1.168847ms,24.746323ms,26.151616ms
0000000_0111_1,y,0,239.833µs,1.422589ms,26.043946ms,27.706368ms
010000_00100_1,y,0,378.436µs,1.246651ms,25.418222ms,27.043309ms
011000_0111_00,y,0,235.064µs,1.285089ms,24.579615ms,26.099768ms
010000_011_000,y,0,232.092µs,1.292188ms,25.991888ms,27.516168ms
01010000_11_00,y,0,241.54µs,1.330038ms,23.583661ms,25.155239ms
010000_0111_00,y,0,382.785µs,1.345274ms,24.326274ms,26.054333ms
010000000_00_1,y,0,368.584µs,1.405352ms,27.205341ms,28.979277ms
0100000_0000_1,y,0,230.693µs,1.298451ms,28.029387ms,29.558531ms
001000_011_000,y,0,378.556µs,1.237402ms,25.588599ms,27.204557ms
0110000_0111_1,y,0,228.132µs,1.207998ms,28.726754ms,30.162884ms
101011_0111_00,y,0,240.511µs,1.100126ms,23.817822ms,25.158459ms
01001000_11_00,y,0,228.063µs,1.362798ms,23.455752ms,25.046613ms
01000100_11_00,y,0,232.127µs,1.14808ms,23.967003ms,25.34721ms
0101000_0100_1,y,0,385.644µs,1.223084ms,24.073898ms,25.682626ms
0010000_0000_1,y,0,233.7µs,1.315837ms,25.612715ms,27.162252ms
011111_1011_00,y,0,223.4µs,1.307614ms,25.124098ms,26.655112ms
0001000_0000_1,y,0,224.767µs,1.163965ms,25.293324ms,26.682056ms
000000_01111_1,y,0,396.041µs,1.39065ms,25.902201ms,27.688892ms
010111_00100_1,y,0,232.809µs,1.18295ms,24.222718ms,25.638477ms
0100100_111_00,y,0,224.473µs,1.330738ms,24.672496ms,26.227707ms
0100100_011_00,y,0,230.692µs,1.152471ms,24.419281ms,25.802444ms
01110111_11_00,y,0,233.014µs,1.152978ms,25.676463ms,27.062455ms
0101111_0000_1,y,0,239.45µs,1.238547ms,24.632811ms,26.110808ms
0100000_111_00,y,0,243.176µs,1.360472ms,25.165572ms,26.76922ms
10111_0111_000,y,0,391.465µs,1.356912ms,25.07652ms,26.824897ms
011011_00100_1,y,0,231.574µs,1.191861ms,24.595244ms,26.018679ms
01100000_11_00,y,0,223.433µs,1.354362ms,26.209646ms,27.787441ms
0101000_111_00,y,0,377.98µs,1.298652ms,24.590054ms,26.266686ms
00111011_000_1,y,0,235.793µs,1.236763ms,25.949033ms,27.421589ms
011000_0100_11,y,0,241.222µs,1.184525ms,24.854171ms,26.279918ms
0110000_111_00,y,0,388.238µs,1.346433ms,26.823628ms,28.558299ms
11011_01000_00,y,0,233.399µs,1.053425ms,24.322941ms,25.609765ms
01011_01000_00,y,0,380.015µs,1.442027ms,26.810145ms,28.632187ms
010111_1011_00,y,0,228.686µs,1.05263ms,25.380041ms,26.661357ms
01111_01000_00,y,0,223.963µs,1.281311ms,23.132186ms,24.63746ms
010101000_00_1,y,0,223.605µs,1.13103ms,23.053457ms,24.408092ms
0100100_0111_1,y,0,244.361µs,1.257893ms,23.250648ms,24.752902ms
01001000_000_1,y,0,222.295µs,1.281197ms,24.228512ms,25.732004ms
0100111_0111_1,y,0,230.108µs,1.170214ms,25.105682ms,26.506004ms
011111011_00_1,y,0,229.155µs,1.248031ms,25.159595ms,26.636781ms
010110111_00_1,y,0,228.557µs,1.215883ms,23.119378ms,24.563818ms
010000100_00_1,y,0,234.937µs,1.186472ms,25.704031ms,27.12544ms
011100111_00_1,y,0,223.148µs,1.225832ms,26.407307ms,27.856287ms
10111_01000_00,y,0,230.254µs,1.242853ms,23.029127ms,24.502234ms
01010111_000_1,y,0,228.966µs,1.188753ms,24.066299ms,25.484018ms
101111_0111_00,y,0,238.067µs,1.198038ms,25.356357ms,26.792462ms
0100000_0111_1,y,0,223.736µs,1.352562ms,23.525945ms,25.102243ms
010100_01111_1,y,0,241.692µs,1.226636ms,23.508749ms,24.977077ms
001000_01000_1,y,0,232.87µs,1.182089ms,25.220218ms,26.635177ms
01111011_11_00,y,0,223.916µs,1.259155ms,27.013619ms,28.49669ms
00101111_000_1,y,0,223.306µs,1.298353ms,27.123676ms,28.645335ms
000100_01111_1,y,0,229.399µs,1.640878ms,28.433907ms,30.304184ms
010111_00000_1,y,0,230.307µs,1.419359ms,25.381967ms,27.031633ms
0010000_0111_1,y,0,398.463µs,1.364803ms,24.142977ms,25.906243ms
01111_01000_11,y,0,235.479µs,1.28727ms,24.924796ms,26.447545ms
011000_01111_1,y,0,376.436µs,1.145335ms,28.370994ms,29.892765ms
001111_011_000,y,0,376.553µs,1.289462ms,26.101987ms,27.768002ms
011001111_00_1,y,0,369.569µs,1.226515ms,26.901277ms,28.497361ms
011011000_00_1,y,0,223.998µs,1.132418ms,25.180026ms,26.536442ms
01000100_000_1,y,0,224.086µs,1.211639ms,24.987255ms,26.42298ms
010011000_00_1,y,0,223.103µs,1.261793ms,25.654251ms,27.139147ms
01100111_000_1,y,0,226.674µs,1.169904ms,26.160451ms,27.557029ms
0111011_0100_1,y,0,242.338µs,1.257936ms,23.761386ms,25.26166ms
0101111_000_11,y,0,222.408µs,1.365347ms,24.444455ms,26.03221ms
0110111_0100_1,y,0,232.356µs,1.175184ms,23.554478ms,24.962018ms
