triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
011111_101111_000000,y,0,1.259757ms,800.166µs,2.817472ms,4.877395ms
0100000101000_111_00,y,0,1.381864ms,747.336µs,3.290542ms,5.419742ms
0100010000_0111_1011,y,0,1.465165ms,931.839µs,4.031054ms,6.428058ms
010000000_011000_111,y,0,1.254982ms,864.809µs,3.80525ms,5.925041ms
00101000_01111_10111,y,0,1.391285ms,975.358µs,4.149618ms,6.516261ms
000110000_10111_0000,y,0,1.316287ms,820.58µs,3.776018ms,5.912885ms
100000100_01111_0000,y,0,1.291029ms,849.829µs,3.659029ms,5.799887ms
11100111_01010000_00,y,0,1.426218ms,895.297µs,4.233525ms,6.55504ms
0100010000_100000_00,y,0,1.352444ms,896.927µs,4.627674ms,6.877045ms
10100000_01111_00100,y,0,1.40586ms,955.828µs,4.847586ms,7.209274ms
01000101010000_11_00,y,0,1.478671ms,980.107µs,5.069056ms,7.527834ms
001001000_010111_011,y,0,1.595298ms,1.024584ms,5.605064ms,8.224946ms
00000000_00111_01011,y,0,1.341372ms,1.153069ms,5.03207ms,7.526511ms
10001100000_01111_00,y,0,1.339905ms,951.398µs,5.251333ms,7.542636ms
011010000_010000_111,y,0,1.378327ms,1.009551ms,5.475867ms,7.863745ms
10110000_001000_0111,y,0,1.445245ms,1.091922ms,5.406467ms,7.943634ms
001001000_100000_000,y,0,1.328734ms,1.189927ms,5.836699ms,8.35536ms
0011000100_0100000_1,y,0,1.378032ms,1.029061ms,5.89456ms,8.301653ms
01100110111_00100_11,y,0,1.464573ms,994.634µs,6.256724ms,8.715931ms
01000000_001000_1111,y,0,1.241835ms,711.542µs,3.15619ms,5.109567ms
0111000000_0000000_1,y,0,1.195331ms,920.07µs,3.095378ms,5.210779ms
010101000_00100_1011,y,0,1.707932ms,1.052411ms,8.303787ms,11.06413ms
0111001000_011000_11,y,0,1.43376ms,1.383805ms,9.487831ms,12.305396ms
0000000_011011_00111,y,0,1.298264ms,989.667µs,4.095699ms,6.38363ms
11011011_01001000_00,y,0,1.458668ms,545.649µs,2.909298ms,4.913615ms
000000000_00111_0111,y,0,1.239016ms,959.971µs,3.093027ms,5.292014ms
001000000_01011011_1,y,0,1.407242ms,956.612µs,4.035383ms,6.399237ms
011111001111_00100_1,y,0,1.335742ms,843.731µs,3.016154ms,5.195627ms
0100110111_0111_1000,y,0,1.472675ms,1.603065ms,10.773252ms,13.848992ms
0010101111_00100_011,y,0,1.60964ms,1.359663ms,11.19407ms,14.163373ms
0010011010000_0111_1,y,0,1.440827ms,1.074932ms,6.111082ms,8.626841ms
001110100000_01111_1,y,0,1.366249ms,1.208516ms,6.072614ms,8.647379ms
011010000000_01111_1,y,0,1.316979ms,1.245508ms,5.131745ms,7.694232ms
01111011_01110000_11,y,0,1.385676ms,983.653µs,5.53348ms,7.902809ms
0100000000_0111111_1,y,0,1.194194ms,825.69µs,2.37451ms,4.394394ms
0111111011_1111_0000,y,0,1.243188ms,819.669µs,2.40068ms,4.463537ms
011010000_011011_000,y,0,1.530405ms,1.194697ms,8.419047ms,11.144149ms
000101000_00111_0000,y,0,1.435725ms,910.099µs,6.200241ms,8.546065ms
10011000_010100_0111,y,0,1.526465ms,1.48922ms,13.746938ms,16.762623ms
1000011000_0111_0100,y,0,1.44671ms,981.302µs,6.51885ms,8.946862ms
0110111011_0111_1011,y,0,1.487274ms,1.340309ms,7.463478ms,10.291061ms
01111011_11000000_00,y,0,1.296812ms,886.223µs,3.582997ms,5.766032ms
0111111111_01000_111,y,0,1.211026ms,780.697µs,2.760979ms,4.752702ms
00000000_011000_0111,y,0,1.289644ms,905.827µs,3.943488ms,6.138959ms
010111_101011_001000,y,0,1.52003ms,955.847µs,5.985224ms,8.461101ms
010110000_0101111_00,y,0,1.423461ms,1.763176ms,10.545065ms,13.731702ms
01110101111_00000_11,y,0,1.30011ms,997.62µs,3.874001ms,6.171731ms
0001001000_0111_0000,y,0,1.347352ms,778.439µs,4.127051ms,6.252842ms
010000000_10111_0111,y,0,1.305573ms,924.51µs,3.532032ms,5.762115ms
01101110000_01000_11,y,0,1.361781ms,1.007284ms,6.410886ms,8.779951ms
000110000_0111111_11,y,0,1.264106ms,713.023µs,2.753179ms,4.730308ms
0011001111_0000100_1,y,0,1.345191ms,1.057087ms,5.060111ms,7.462389ms
01011011_01010000_00,y,0,1.668158ms,1.709986ms,10.86464ms,14.242784ms
00000000000_01111_11,y,0,1.245562ms,854.303µs,1.675134ms,3.774999ms
0011011000_0111_0000,y,0,1.374311ms,1.019118ms,8.339478ms,10.732907ms
0110100111_1011_0100,y,0,1.747538ms,1.312614ms,13.363985ms,16.424137ms
010010010000_01111_1,y,0,1.41892ms,773.128µs,3.672763ms,5.864811ms
1011111111_010000_00,y,0,1.2538ms,823.973µs,2.304414ms,4.382187ms
0110000_010000_00100,y,0,1.401649ms,1.313227ms,8.19099ms,10.905866ms
00100000000_01111_11,y,0,1.241205ms,799.133µs,2.066773ms,4.107111ms
001010001000_01111_1,y,0,1.413155ms,731.34µs,3.514898ms,5.659393ms
01110010000_01000_00,y,0,1.416944ms,1.372901ms,7.150491ms,9.940336ms
000000000000_01111_1,y,0,1.210113ms,730.045µs,1.493047ms,3.433205ms
11001011111_01111_00,y,0,1.350902ms,1.063917ms,5.429455ms,7.844274ms
11011111_00100_01000,y,0,1.334173ms,829.688µs,3.434792ms,5.598653ms
00110000_11011_00100,y,0,1.368187ms,1.157588ms,5.242942ms,7.768717ms
010011000_0100111_00,y,0,1.558471ms,1.967667ms,15.581037ms,19.107175ms
00000100_01111_00111,y,0,1.298083ms,985.694µs,3.548959ms,5.832736ms
01100111_01000_10000,y,0,1.445968ms,1.282547ms,9.086684ms,11.815199ms
0101110000_0001000_1,y,0,1.399176ms,1.04229ms,4.790227ms,7.231693ms
010110000_010000_011,y,0,1.46762ms,1.835872ms,11.203193ms,14.506685ms
0110000000_1111_0000,y,0,1.184678ms,907.579µs,2.780947ms,4.873204ms
01010000_000100_0111,y,0,1.465768ms,1.190721ms,6.904623ms,9.561112ms
0010110000_0101000_1,y,0,1.517008ms,1.559516ms,10.319755ms,13.396279ms
01011000_01111_01000,y,0,1.486477ms,1.65342ms,10.998422ms,14.138319ms
0100000100_0111_1000,y,0,1.378438ms,1.021788ms,4.455147ms,6.855373ms
01110000_0101000_111,y,0,1.358826ms,1.116089ms,7.113539ms,9.588454ms
10110111_01111_00100,y,0,1.38641ms,896.667µs,4.135265ms,6.418342ms
01011011_01101011_00,y,0,1.877924ms,1.360708ms,12.394897ms,15.633529ms
0101110111_1011_0000,y,0,1.433523ms,907.729µs,4.553041ms,6.894293ms
010001001100000_00_1,y,0,1.387694ms,981.838µs,4.26733ms,6.636862ms
010101110000_00000_1,y,0,1.333479ms,1.313894ms,6.601466ms,9.248839ms
01101011111_1011_000,y,0,1.36152ms,1.00064ms,6.284646ms,8.646806ms
010010101011000_00_1,y,0,1.720275ms,1.852083ms,16.028267ms,19.600625ms
011010000_01111_1000,y,0,1.436605ms,1.450272ms,7.835837ms,10.722714ms
00011000_00100000_11,y,0,1.279368ms,1.065398ms,5.025854ms,7.37062ms
011011_101011_000100,y,0,1.659579ms,1.687823ms,17.964783ms,21.312185ms
000010000_0100000_11,y,0,1.217705ms,878.629µs,3.209131ms,5.305465ms
011010000_1001111_00,y,0,1.373694ms,1.352314ms,7.971514ms,10.697522ms
010000000_0110000_11,y,0,1.259422ms,1.074745ms,4.0018ms,6.335967ms
00110100000_00100_11,y,0,1.376395ms,1.366245ms,6.568716ms,9.311356ms
100010000_0100000_00,y,0,1.295753ms,1.006492ms,5.354924ms,7.657169ms
010010000_010000_111,y,0,1.38497ms,909.36µs,4.686388ms,6.980718ms
0001111111_0000000_1,y,0,1.215066ms,866.853µs,2.407214ms,4.489133ms
010100100_01111_1000,y,0,1.476725ms,1.358019ms,8.013731ms,10.848475ms
010111000000_1111_00,y,0,1.248104ms,1.059341ms,4.457583ms,6.765028ms
001100001000_00000_1,y,0,1.260451ms,1.050461ms,4.254438ms,6.56535ms
0011101111_1011_0000,y,0,1.250229ms,646ns,77ns,1.250952ms
00000100_011000_0111,y,0,1.338734ms,987.744µs,4.310547ms,6.637025ms
0100110000_011000_11,y,0,1.383992ms,1.527334ms,8.164624ms,11.07595ms
01010100000_10111_00,y,0,1.478245ms,1.353255ms,6.10534ms,8.93684ms
01101111_0100000_000,y,0,1.348873ms,931.874µs,4.053654ms,6.334401ms
011001000_11011_0100,y,0,1.483847ms,1.331434ms,7.038009ms,9.85329ms
001100111_00100_0111,y,0,1.444927ms,1.510083ms,10.25503ms,13.21004ms
